Complexity,Loss,Equation
1,0.22383712,"0.4303643"
6,0.22270301,"log10(x6 + 1.9024136)"
7,0.18289088,"(x0 ^ 0.065221995) + -0.7046204"
8,0.18169145,"(log10(x0) * 0.18352228) + 0.2782024"
9,0.18103972,"((x0 ^ -0.105040655) * -0.9882314) + 1.2431351"
10,0.17964976,"log10(x3 * x0) * 0.24876752"
11,0.17420171,"(((x0 + 27.316605) ^ -1.7167569) * -118.39305) + 0.6998841"
12,0.17200588,"(x7 * (log10(x0) * 0.32484728)) + 0.2614275"
14,0.17187268,"((log10(x0 + 0.26030973) * 0.33553582) * x7) + 0.25095594"
15,0.17084248,"(((x0 + 42.46087) ^ -1.4248428) * (x0 * 4.535014)) + 0.30142695"
16,0.16816773,"(log10(x4 * x0) * (x7 * 0.34024987)) + 0.28683487"
17,0.16533995,"((x7 * 0.2574117) + (((x0 + 25.735159) ^ -1.7038416) * -111.44354)) + 0.55342335"
19,0.16133967,"(((x0 + 37.946987) ^ -1.341605) * ((x3 ^ 0.54643816) * x0)) + 0.29338115"
23,0.16072328,"((x7 * (x4 * 0.25275838)) + 0.15428673) + (((x0 + 21.169596) ^ -1.1394036) * x0)"
25,0.15605287,"((x4 * 0.16004014) + (((x3 ^ 0.47564125) * x0) * ((x0 + 35.671623) ^ -1.3068497))) + 0.17192882"
29,0.15579584,"(((x3 ^ 0.49739105) * x0) * ((x0 + 37.94265) ^ -1.3107545)) + (((x4 + x2) * 0.17082469) + 0.16353744)"
31,0.15521759,"((((x0 + 34.265934) ^ -1.264461) * (x0 * (x3 ^ 0.3792937))) + 0.16489533) + (((x4 + x7) + -0.38634452) * 0.12512836)"
43,0.1547295,"((((x3 ^ 0.45479682) * x7) * ((x4 * log10(x0)) * 0.10406702)) + ((((x0 ^ -0.7938475) * -2.0810075) + -0.16787373) * log10((x0 * x0) + 1.6438807))) + 1.3581456"
44,0.15467557,"(((x4 * log10(x0)) * 0.04332889) * (exp(x7) * (x3 ^ 0.42765796))) + (((((x0 ^ -0.7929352) * -2.0712545) + -0.17680715) * log10((x0 * x0) + 1.6321822)) + 1.3540881)"
47,0.15467472,"(x7 * 0.114108615) + (((x8 + x3) * (x4 * (log10(x0) * 0.016366426))) + (((((x0 ^ -0.79398733) * -1.899838) + -0.14319669) * log10((x0 * x0) + 1.6183989)) + 1.1748501))"
49,0.15389825,"(((log10((x0 * x0) + 1.6228018) * (((x0 ^ -0.7965586) * -2.0197573) + -0.1607765)) + ((log10(x0) * (x4 * 0.10117995)) * (x7 * (x3 ^ 0.5025286)))) + (x8 * 0.0076955277)) + 1.2908063"
50,0.15380387,"(((((x3 ^ 0.54474443) * x7) * ((log10(x0) * x4) * 0.08910642)) + (log10((x0 * x0) + 1.6243854) * (((x0 ^ -0.79574025) * -2.0271757) + -0.15938091))) + (log10(x8) * 0.041167885)) + 1.3021088"
51,0.15374939,"(((((x0 ^ -0.79507804) * -2.0319524) + -0.16957624) * log10((x0 * x0) + 1.6194389)) + (log10(x8) * 0.041752625)) + (((exp(x7) * (x3 ^ 0.5200223)) * ((log10(x0) * 0.036327776) * x4)) + 1.3064857)"
52,0.15368932,"((x2 * log10(x8)) + (((((x0 ^ -0.7960206) * -2.1203005) + -0.17047475) * log10((x0 * x0) + 1.6454206)) + 1.3561509)) + (((x3 ^ 0.5397597) * x7) * (x4 * (log10(x0) * 0.09062609)))"
53,0.15360062,"((((log10(x0) * x4) * 0.034279454) * ((x3 ^ 0.54023534) * exp(x7))) + ((log10((x0 * x0) + 1.6287513) * (((x0 ^ -0.79619706) * -2.076709) + -0.17345321)) + 1.3329751)) + (x2 * log10(x8))"
54,0.15356062,"(((exp(x7) * (x3 ^ 0.5291422)) * (x4 * (log10(x0) * 0.034999784))) + ((log10((x0 * x0) + 1.6156234) * (((x0 ^ -0.79903156) * -2.0381498) + -0.16938025)) + 1.3068165)) + ((x8 * x2) * 0.15393485)"
55,0.15349247,"(((((x0 ^ -0.7963714) * -2.083119) + -0.17424831) * log10((x0 * x0) + 1.6296521)) + ((((log10(x0) * x4) * 0.034619387) * ((x3 ^ 0.5339537) * exp(x7))) + (log10(x8 + 0.18455829) * x2))) + 1.3354093"
56,0.15348706,"((((x0 ^ -0.7947632) * -2.0742505) + -0.17323674) * log10((x0 * x0) + 1.6283005)) + (((log10(x2 + 1.0713688) * log10(x8)) + (((x4 * log10(x0)) * 0.03471476) * (exp(x7) * (x3 ^ 0.53993386)))) + 1.3282946)"
