Complexity,Loss,Equation
1,0.22081688,"0.42882997"
6,0.21421869,"log10(1.8702849 + x3)"
7,0.18099731,"(x0 ^ 0.060321428) + -0.6913472"
8,0.17978737,"(log10(x0) * 0.16794586) + 0.294003"
9,0.17904527,"((x0 ^ -0.10541032) * -0.90507877) + 1.1778526"
10,0.17065805,"(exp(x0 * -0.05023413) * -0.3515419) + 0.6710484"
12,0.16891931,"log10((x2 * x0) + 21.576784) * 0.22318713"
13,0.16788726,"(-0.86182547 * (x0 ^ -0.1117692)) + (x2 ^ 0.05912596)"
14,0.15526222,"(exp((x0 * -0.004270962) * x2) * -0.3914903) + 0.7201624"
18,0.15346621,"(x1 + 0.67735034) + (exp((x2 * -0.004270962) * x0) * -0.39706263)"
19,0.15265965,"exp(x1 + -0.3701623) + (exp(x0 * (x2 * -0.004270962)) * -0.39706263)"
20,0.15260082,"(x1 * 0.65692306) + ((exp((x0 * -0.004270962) * x2) * -0.40110922) + 0.6963275)"
22,0.15154652,"(exp(x0 * (x2 * -0.004270962)) * -0.3914903) + ((x1 * x4) + 0.6905195)"
24,0.1505476,"(((x1 + 0.09375255) * x4) + 0.63535476) + (exp((x0 * x2) * -0.004270962) * -0.39576128)"
28,0.14976877,"((exp((x0 * x2) * -0.004270962) * -0.39576128) + (x1 * (x4 + (x0 * -0.004270962)))) + 0.6963275"
32,0.14971396,"((exp((x0 * x2) * -0.004270962) * -0.3914903) + 0.6963275) + ((x7 + (x0 * -0.004270962)) * (x1 * x3))"
34,0.14820702,"((log10(x2) + (x3 + -1.3741142)) * (log10(x0) * x5)) + (((exp(x0 * -0.012585797) * 0.010252632) * x0) + 0.30868924)"
36,0.14804138,"(((x0 * exp(x0 * -0.014012239)) * 0.011096365) + 0.3101214) + (((x5 * 1.2147086) * log10(x0)) * ((log10(x2) + -1.4689597) + x3))"
38,0.14753605,"((exp(x0 * -0.013960154) * ((x4 * 0.0163894) * x0)) + 0.30868956) + ((log10(x0) * x5) * ((x3 + -1.3718407) + log10(x2)))"
40,0.14657608,"(((x3 + log10(x2)) + -1.4327838) * (x5 * log10(x0))) + ((x1 * 0.5244272) + ((x0 * (exp(x0 * -0.012830481) * 0.010737734)) + 0.29009515))"
42,0.14644621,"((x1 * 0.5127945) + ((((x3 + -1.3950315) + log10(x2)) * (x5 * log10(x0 * 1.248535))) + 0.27966428)) + ((x0 * 0.010762485) * exp(x0 * -0.013073651))"
43,0.14622155,"(exp(x8) * x1) + ((((x0 * exp(x0 * -0.012931771)) * 0.010831997) + 0.2796683) + ((log10(x0) * x5) * (log10(x2) + (x3 + -1.3950306))))"
44,0.14552514,"(((((x0 * 0.016373277) * x4) * exp(x0 * -0.013805403)) + 0.28721705) + (x1 * 0.56898975)) + ((x5 * log10(x0)) * (log10(x2) + (x3 + -1.4152524)))"
46,0.1455234,"((x5 * log10(x0 + 0.038737405)) * ((x3 + -1.3925073) + log10(x2))) + ((exp(x0 * -0.014216537) * (x4 * (x0 * 0.016850267))) + ((x1 * 0.5612669) + 0.2845045))"
47,0.14513871,"((((x0 * (x4 * 0.017616976)) * exp(x0 * -0.014012239)) + (x1 * exp(x8))) + (((x3 + log10(x2)) + -1.3936888) * (log10(x0) * x5))) + 0.27622893"
48,0.14434716,"((((x0 * 0.016373277) * x4) * exp((x0 * x3) * -0.015636208)) + 0.28721705) + ((x1 * 0.56898975) + ((x5 * log10(x0)) * ((log10(x2) + x3) + -1.4152524)))"
50,0.14431132,"((((x5 ^ 0.9690961) * log10(x0)) * ((x3 + -1.4152545) + log10(x2))) + ((exp(x3 * (x0 * -0.01597091)) * ((x0 * x4) * 0.016225923)) + 0.28720227)) + (x1 * 0.5513928)"
51,0.14397946,"(((x5 * log10(x0)) * (x3 + (log10(x2) + -1.3915538))) + ((x1 * exp(x8)) + 0.2762488)) + (exp((x3 * -0.01600433) * x0) * (x4 * (x0 * 0.017156752)))"
53,0.14394072,"(((x5 * log10(x0)) * ((x3 + -1.3792713) + log10(x2))) + (exp(x8 * 0.80751634) * x1)) + (0.27327675 + ((x4 * (x0 * 0.017357798)) * exp((-0.01680879 * x0) * x3)))"
54,0.14367299,"(x6 * 0.0064506014) + ((((x5 * log10(x0)) * (log10(x2) + (x3 + -1.4926589))) + ((x1 * 0.64745253) + 0.26791167)) + (((x4 * 0.018118791) * x0) * exp(x3 * (x0 * -0.016535947))))"
56,0.14310572,"((((log10(x0) * (x5 * 1.2829663)) * ((x3 + log10(x2)) + -1.4930395)) + 0.26197353) + (x1 * 0.5465326)) + ((x6 * 0.008775382) + (exp(x0 * (x3 * -0.016640894)) * (x0 * (x4 * 0.01704374))))"
58,0.14298457,"(((log10(x0) * (x5 * 1.2829673)) * ((x3 + log10(x2)) + -1.4930345)) + (((x1 * 0.6625949) + 0.26200023) + ((x6 + -0.7797164) * 0.008863915))) + (exp(x3 * (x0 * -0.016529562)) * ((x4 * 0.017199818) * x0))"
60,0.1429276,"((x6 + x8) * 0.008829145) + ((((x3 + log10(x2)) + -1.4930338) * ((x5 * 1.2829684) * log10(x0))) + ((exp(x0 * (x3 * -0.016959056)) * ((x0 * 0.017333502) * x4)) + ((x1 * 0.63464934) + 0.26199985)))"
61,0.1428206,"((((x4 * x0) * 0.018634109) * exp((x0 * x3) * -0.017940955)) + (((log10(x4) * x6) * -0.03316558) + (((x5 * log10(x0)) * 1.2540343) * (log10(x2) + (x3 + -1.5021044))))) + ((x1 * 0.6650959) + 0.25947765)"
62,0.14260131,"(((x0 * (x4 * 0.018958624)) * exp((x0 * x3) * -0.016975496)) + ((log10(x6) * log10(x4)) * -0.2386003)) + (((((x5 * log10(x0)) * 1.301569) * (log10(x2) + (x3 + -1.5689113))) + (x1 * 0.6686679)) + 0.267283)"
63,0.14248422,"((((x0 ^ 0.33561835) * (x1 * 0.31415895)) + 0.27590784) + (((log10(x2) + x3) + -1.535487) * ((log10(x0) * x5) * 1.1860149))) + ((log10(x6) * 0.049591422) + (exp((x0 * x3) * -0.018489726) * (x4 * (x0 * 0.017181342))))"
65,0.14241819,"((((x4 * x0) * 0.017400676) * exp(x3 * (x0 * -0.018108057))) + 0.27460963) + ((log10(x6) * 0.046490945) + ((((x5 * 1.1457996) * log10(x0)) * ((x3 + -1.535484) + log10(x2))) + (x1 * (((x0 + 3.9565268) ^ 0.34847164) * 0.28617963))))"
67,0.14216194,"(((x0 ^ 0.33945712) * x1) * 0.33945712) + ((((x0 * x4) * 0.017479192) * exp(x3 * (x0 * -0.01768569))) + ((((log10(x2) + (x3 + -1.5374)) * (x5 * log10(x0))) + (((x9 * 3.9438797e-5) + log10(x6)) * 0.051129833)) + 0.26734576))"
68,0.14199866,"(((log10(x2) + (x3 + -1.5691218)) * ((log10(x0) * x5) * 1.300939)) + (x1 * ((x0 ^ 0.32291922) * 0.34941053))) + (((log10(x6) * (log10(x4) * -0.23625967)) + 0.2758061) + ((x4 * (x0 * 0.017866343)) * exp((x3 * -0.019310595) * x0)))"
71,0.14177576,"((log10(x6) * 0.054958813) + 0.26403373) + (((x1 + (x9 * 1.9139493e-6)) * (((x0 ^ 0.32769784) + 0.89893883) * 0.264037)) + (((x4 * (x0 * 0.017018203)) * exp((x0 * -0.017485918) * x3)) + (((x5 * 1.155675) * log10(x0)) * (log10(x2) + (x3 + -1.5456303)))))"
73,0.14175153,"(((x4 * (x0 * 0.017018203)) * exp(x3 * (x0 * -0.017485918))) + ((((x0 ^ 0.32769784) + 0.89893883) * 0.264037) * (x1 + (x9 * 1.9139493e-6)))) + ((((log10(x0) * (x5 * 1.155675)) * ((log10(x2) + x3) + -1.5456303)) + (log10(x6 + 0.04953965) * 0.054620303)) + 0.264037)"
74,0.14139594,"(((exp(x0 * (x3 * -0.018781042)) * ((x0 * 0.018048337) * x4)) + ((x0 ^ 0.3453003) * (x1 * 0.2822888))) + ((log10(x2) + (x3 + -1.5455916)) * (log10(x0) * (x5 * 1.3025573)))) + (((x9 * 1.6808427e-6) + ((log10(x4) * log10(x6)) * -0.2757452)) + 0.26354742)"
76,0.14130132,"(((x0 ^ 0.3460286) + 0.51546335) * (x1 * 0.27629635)) + (((exp((x0 * -0.017760042) * x3) * ((x4 * 0.017319605) * x0)) + ((log10(x2) + (x3 + -1.5456226)) * (log10(x0) * (x5 * 1.2030208)))) + ((x9 * 1.7621152e-6) + (((log10(x6) * log10(x4)) * -0.24426273) + 0.2640656)))"
78,0.14124674,"(exp((x0 * x3) * -0.01792128) * ((x0 * 0.017329525) * x4)) + (((((x0 ^ 0.3460279) + x7) * (x1 * 0.2640681)) + ((log10(x2) + (x3 + -1.5456226)) * ((log10(x0) * x5) * 1.2030215))) + ((((log10(x4) * log10(x6)) * -0.24426325) + (x9 * 1.5149486e-6)) + 0.2640681))"
79,0.14111105,"(((exp(x0 * (-0.017949924 * x3)) * (x0 * (x4 * 0.017893137))) + ((x9 * 1.5522767e-6) + ((x1 * 0.26405823) * (exp(x8) + (x0 ^ 0.33084068))))) + ((log10(x4) * -0.23467706) * log10(x6))) + (((log10(x0) * (x5 * 1.2061287)) * ((log10(x2) + x3) + -1.5493789)) + 0.26405823)"
82,0.14075719,"((((x5 * 1.17593) * log10(x0)) * ((log10(x2) + x3) + -1.5456034)) + ((exp((x3 * -0.017949924) * x0) * ((x4 * x0) * 0.017893137)) + 0.26405823)) + ((log10(x6) * (log10(x4) * -0.25713474)) + ((x1 * (((x0 ^ 0.33084068) + 0.51550484) * 0.26405823)) + ((x4 ^ 3.814286) * (x9 * 7.1339546e-6))))"
84,0.14073966,"((exp((x0 * -0.017949924) * x3) * ((x4 * x0) * 0.017893137)) + ((x1 * (((x0 ^ 0.33084068) + 0.6467422) * 0.26405823)) + ((log10(x6 * 0.89410824) * -0.26528758) * log10(x4)))) + ((((x3 + (log10(x2) + -1.5456034)) * ((x5 * 1.17593) * log10(x0))) + 0.26405823) + ((x9 * (x4 ^ 3.4916813)) * 7.024475e-6))"
85,0.14064665,"(((exp(x0 * (x3 * -0.017949924)) * (x0 * (x4 * 0.017893137))) + ((x4 ^ 3.4916813) * (x9 * 5.878539e-6))) + ((((x1 * 0.26405823) * ((x0 ^ 0.33084068) + exp(x8))) + ((log10(x4) * -0.2380456) * log10(x6))) + ((x5 * (log10(x0) * 1.2061287)) * (log10(x2) + (x3 + -1.5456034))))) + 0.26405823"
87,0.14063683,"((exp((x0 * -0.017949924) * x3) * (x0 * (x4 * 0.017893137))) + ((x9 * ((x4 ^ 3.5738459) * 5.878539e-6)) + ((x1 * 0.26405823) * (exp(x8) + (x0 ^ 0.33084068))))) + (((((x5 * 1.2061287) * log10(x0)) * (log10(x2) + (x3 + -1.5456034))) + (log10(x6 + 0.15758768) * (log10(x4) * -0.23467706))) + 0.26405823)"
89,0.14059749,"(((((x0 * x4) * 0.017893137) * exp(x0 * (x3 * -0.017949924))) + ((log10(x0) * (x5 * 1.2061287)) * (log10(x2) + (x3 + -1.5456034)))) + (((x4 ^ 3.5738459) * (x9 * 5.878539e-6)) + ((exp(x8) + (x0 ^ 0.33084068)) * (x1 * 0.25600287)))) + (((log10(x4) * -0.23467706) * log10(x6 + x1)) + 0.26405823)"
92,0.1405713,"(((log10(x2) + (x3 + -1.5455356)) * (log10(x0) * (x5 * 1.1898633))) + 0.26253095) + (((x0 * (x4 * 0.017160682)) * exp((x3 * x0) * -0.01758541)) + (((((x0 ^ 0.33118093) + exp(x8)) * (x1 * 0.27763492)) + (log10(x6) * (log10(x4) * -0.24534243))) + ((log10(x0) + x4) * (x9 * (x7 * 2.1115457e-6)))))"
94,0.1405183,"(((log10(x6) * (log10(x4) * -0.26804402)) + (((x5 * log10(x0)) * 1.1987798) * ((x3 + log10(x2)) + -1.5456262))) + ((((x9 * (x7 * 1.8629442)) * ((x7 * 3.0096357e-6) * log10(x0))) + ((exp(x8) + (x0 ^ 0.33082977)) * (x1 * 0.2617022))) + (exp((x0 * x3) * -0.017768277) * (x0 * (x4 * 0.017107174))))) + 0.2617022"
95,0.14048634,"(((((x7 * 9.972686e-7) * log10(x0)) * (exp(x7 * 1.7831081) * x9)) + 0.26167148) + ((((x3 + -1.5456303) + log10(x2)) * ((log10(x0) * 1.1987749) * x5)) + (log10(x6) * (log10(x4) * -0.2770896)))) + ((((x0 ^ 0.33082354) + exp(x8)) * (x1 * 0.27378094)) + (exp(x3 * (x0 * -0.01748592)) * ((x4 * x0) * 0.017018205)))"
96,0.14044307,"(((log10(x6 + 0.08664631) * (log10(x4) * -0.26804402)) + (((x5 * log10(x0)) * 1.1987798) * ((x3 + log10(x2)) + -1.5456262))) + ((((x9 * (x7 * 1.8629442)) * (log10(x0) * (x7 * 3.0096335e-6))) + ((exp(x8) + (x0 ^ 0.33082977)) * (x1 * 0.2617022))) + (exp(x0 * (x3 * -0.017768277)) * ((x0 * 0.017107174) * x4)))) + 0.2617022"
98,0.14043367,"((log10(x6 + x1) * (log10(x4) * -0.26804402)) + ((x5 * (1.1987798 * log10(x0))) * ((x3 + log10(x2)) + -1.5456262))) + ((((x9 * (x7 * 1.8629442)) * (log10(x0) * (x7 * 3.0096335e-6))) + ((x1 * 0.2617022) * (exp(x8) + (x0 ^ 0.33082977)))) + ((((x0 * 0.017107174) * x4) * exp((x3 * x0) * -0.017768277)) + 0.2617022))"
99,0.14040022,"(((log10(x0) * (x5 * 1.1987749)) * ((x3 + log10(x2)) + -1.5456303)) + ((log10(x1 + x6) * -0.27234638) * log10(x4))) + (((((log10(x0) * 9.972686e-7) * x7) * (x9 * exp(x7 * 1.7831081))) + 0.26167148) + ((exp(x0 * (x3 * -0.01748592)) * (x0 * (x4 * 0.017018205))) + (((x0 ^ 0.33082354) + exp(x8)) * (x1 * 0.26167148))))"
