Complexity,Loss,Equation
1,0.07000643,"-2.160188"
5,0.0680908,"x2 + -2.1947095"
6,0.047010995,"log10(x8) * 0.3199567"
7,0.04409846,"(x8 ^ -0.04625979) * -1.0507436"
8,0.04343123,"(log10(x8) * 0.23672181) + -0.56552494"
9,0.042063877,"((x8 ^ 0.24901882) + -0.14226115) * 18.173967"
11,0.04150141,"(x1 + -1.105086) * (x8 ^ -0.04513658)"
13,0.039943174,"(((x0 * -0.0078480225) + 0.25297576) * x6) + -2.3349004"
15,0.038946006,"(((x0 * -0.010181705) + 0.33573663) * (x6 ^ 0.7245072)) + -2.3589203"
16,0.03876045,"(log10(x6 + 1.2165856) * ((x0 * -0.033491094) + 1.2680728)) + -2.4383113"
17,0.038101386,"(x1 + (((x0 * -0.007927317) + 0.25288346) * x6)) + -2.3703904"
19,0.035932474,"((x6 * ((x0 * -0.007852519) + 0.24942401)) + (x1 ^ 0.2865928)) + -2.708051"
20,0.03593042,"(log10(x1) * 0.27184173) + ((x6 * ((x0 * -0.007908312) + 0.25008807)) + -1.9242425)"
21,0.03480876,"((x6 ^ 0.7083815) * ((x0 * -0.010195084) + 0.33332014)) + ((x1 ^ 0.30062354) + -2.7137198)"
22,0.034789193,"(((x6 ^ 0.70486337) * ((x0 * -0.010397669) + 0.33508223)) + (log10(x1) * 0.28380573)) + -1.9279703"
23,0.034340836,"(x1 ^ 0.31395313) + ((((x0 * -0.009257214) + 0.39400226) * ((x6 + 0.35265967) ^ 0.6444052)) + -2.8415496)"
24,0.034286495,"((((x6 + 0.28795463) ^ 0.5821469) * ((x0 * -0.0100122765) + 0.42846876)) + -2.0769405) + (log10(x1) * 0.28501368)"
25,0.03396028,"((x6 * ((x0 * -0.0084975455) + 0.20636576)) + -1.9198048) + (log10(x1) * (log10(x3) * 0.26006788))"
26,0.033780593,"(x1 + ((((x0 * -0.012465223) + 0.2896138) * (x6 ^ 0.6037288)) + (log10(x3) * -0.5043411))) + -1.8628051"
27,0.0327619,"((log10(x3) * (log10(x1) * 0.2682702)) + -1.9307698) + ((x6 ^ 0.6239335) * ((x0 * -0.011881061) + 0.29722056))"
28,0.032230824,"(x1 ^ 0.26102078) + (((log10(x3) * -0.44885865) + (((x0 * -0.012044935) + 0.29218164) * (x6 ^ 0.59864956))) + -2.2922547)"
29,0.032104142,"(((x6 + 0.22475708) ^ 0.548133) * ((x0 * -0.011688636) + 0.3489776)) + (((log10(x1) * log10(x3)) * 0.27692613) + -2.0052283)"
30,0.03157537,"(x1 ^ 0.30151796) + ((log10(x3) * -0.46093905) + ((((x6 + 0.20826128) ^ 0.515461) * ((x0 * -0.011886699) + 0.35020408)) + -2.318286))"
34,0.031319655,"(x1 ^ 0.45178342) + (((log10(x3) * -0.457836) + ((((x6 + 0.19827354) ^ 0.5066354) * ((x0 * -0.012022437) + 0.3527457)) + x2)) + -2.211436)"
35,0.03127392,"((log10(x3) * -0.44201323) + x2) + ((((x6 + 0.18927014) ^ 0.5036734) * ((x0 * -0.012075698) + 0.35802546)) + ((log10(x1) * 0.2087366) + -1.6993121))"
