Complexity,Loss,Equation
1,0.07212027,"-2.1356795"
5,0.068428405,"x4 + -2.3061092"
6,0.04535888,"log10(x7) * 0.3133852"
7,0.04151984,"(x3 ^ 0.19938788) * -1.365855"
8,0.041201875,"log10(x3 + 6.348074) * -1.7724756"
9,0.04118031,"((x3 + 1.149609) ^ 0.23014557) * -1.2375957"
10,0.040595938,"exp((x3 * -0.09371182) + 0.27400967) + -2.6802483"
11,0.03752901,"(x3 ^ 0.18813789) * (x4 + -1.5697503)"
12,0.037415422,"(x3 ^ 0.18425074) * (exp(x4) + -2.5981321)"
13,0.036438264,"(x3 ^ 0.15878081) * ((x7 ^ 0.06886885) + -1.8366545)"
14,0.034949847,"(log10(x7) * 0.14131467) + ((x3 ^ 0.2257943) * -0.70560837)"
17,0.033894934,"(((x7 ^ 0.07387759) + -1.9904138) * (x3 ^ 0.14265749)) + x4"
18,0.033148423,"(log10(x7) * 0.119706064) + (((x3 ^ 0.18663178) * -0.9795343) + x4)"
19,0.0330459,"(x4 + (log10(x3) * -0.60812587)) + ((log10(x7) * 0.12271774) + -0.8813262)"
21,0.032119516,"(x0 * -0.009381578) + (((x5 * x2) + -1.548454) * (x3 ^ 0.13610028))"
23,0.031359833,"(x0 * -0.006915863) + (x4 + (((x7 ^ 0.07653237) + -1.928487) * (x3 ^ 0.14048226)))"
25,0.030002004,"((((x5 * x1) + -1.6975952) * (x3 ^ 0.12921627)) + (x0 * -0.008509115)) + x4"
27,0.029499434,"(((x5 * x1) ^ 0.6870464) + (((x3 ^ 0.104174845) * -1.8274094) + (x0 * -0.0086981775))) + x4"
29,0.02947789,"(x0 * -0.008644288) + (((x3 ^ 0.09736583) * -1.862843) + ((((x5 * x1) ^ 0.6990003) * 1.119566) + x4))"
30,0.02878459,"((x0 * log10(x2)) * 0.006461038) + ((((x5 * x1) + -1.7100147) * (x3 ^ 0.124326736)) + x4)"
31,0.028668087,"(x4 + (((x3 ^ 0.09517241) * -1.900792) + ((x0 * -0.008865066) + x2))) + ((x5 * x1) ^ 0.68707436)"
32,0.028566856,"(((x5 * x1) + -1.3361956) * ((x3 ^ 0.1373467) + 0.34144545)) + (x4 + (x0 * (log10(x2) * 0.0065007117)))"
34,0.028181644,"((((log10(x2) * x0) * 0.0065052444) + x4) + (((x3 ^ 0.0865521) + -0.15038176) * -2.1627243)) + ((x5 * x1) ^ 0.6942232)"
