Complexity,Loss,Equation
1,0.104564145,"-1.3688608"
5,0.1003391,"x1 + -1.4050335"
6,0.095881745,"log10(x1 + 0.0119685605)"
7,0.0896717,"(x7 * 0.10279401) + -1.486462"
8,0.08965507,"exp(x7 * -0.07791273) * -1.4907638"
9,0.08940309,"(x1 * x7) + -1.4118314"
10,0.08818491,"exp(x1 * x7) + -2.4144607"
11,0.080592215,"((x1 * x7) * 2.4436486) + -1.4769424"
12,0.08013724,"exp(x1 * (x7 * -2.059451)) * -1.4896588"
13,0.07792541,"((x1 ^ 0.7223212) * (x7 + 1.3154467)) + -1.5935652"
15,0.07730046,"((x1 ^ 0.41322017) * ((x7 * 0.35686523) + 1.3516268)) + -1.8042783"
16,0.077285536,"-1.8049601 + ((x1 ^ 0.41448116) * ((0.36773396 * x7) + exp(0.29711574)))"
17,0.07670464,"((x2 + 0.04938101) * x7) + ((x1 ^ -0.10212164) * -1.0304654)"
18,0.07656525,"log10((x7 * 0.317442) + x5) + ((x1 ^ -0.10762091) * -0.980756)"
19,0.07478329,"(x7 * ((x0 * -0.004426596) + 0.1380302)) + ((x1 ^ -0.10883769) * -1.0080217)"
20,0.07477144,"((x1 ^ -0.10763745) * -1.0126027) + (x7 * log10((x0 * -0.011443313) + 1.3579366))"
21,0.07429447,"((x1 ^ -0.112730324) * -0.9618408) + ((x7 + -0.5811107) * ((x0 * -0.0061315605) + 0.15828502))"
23,0.07376781,"((x1 ^ -0.0951104) * (x2 + -1.0885167)) + (x7 * ((x0 * -0.004422137) + 0.13482693))"
25,0.07328768,"((x1 ^ -0.09499499) * (x2 + -1.0547252)) + ((x7 + -0.58942187) * ((x0 * -0.0060968953) + 0.15410785))"
27,0.07313942,"((x1 ^ -0.09986087) * -1.0141982) + (log10((x7 * 0.6478156) + 0.7303919) * exp(x0 * (x1 + -0.10958083)))"
28,0.07293559,"(((x0 * -0.038687367) + 0.97878957) * log10((x7 * 0.50873196) + 0.74042964)) + ((x1 ^ -0.09854544) * (x2 + -1.0407287))"
29,0.07216734,"(log10(x5 + (x7 * 0.58513105)) * exp(x0 * (x1 + -0.08967018))) + ((x1 ^ -0.09619367) * -1.0420325)"
31,0.07202877,"((x1 ^ -0.09388286) * (x2 + -1.0509357)) + (log10((x7 * 0.6257797) + 0.6401001) * exp(x0 * (x1 + -0.11839259)))"
33,0.07121488,"((x1 ^ -0.08354466) * (x2 + -1.1220893)) + (exp(x0 * (x1 + -0.08975095)) * log10((x7 * 0.5865151) + x5))"
37,0.070836805,"x2 + ((((x5 * x1) ^ 0.15966555) * 1.6707411) + ((log10((x7 * 0.6243031) + 0.6142257) * exp((x1 + -0.11126533) * x0)) + -2.3723323))"
38,0.0706594,"((log10((x7 * 0.6277371) + 0.5979781) * exp((x1 + -0.10754649) * x0)) + (((x1 ^ 0.18252108) * (log10(x5) + 1.6042128)) + -2.2436545)) + x2"
40,0.070620455,"((log10(x5) + 1.6143976) * (x1 ^ 0.18143202)) + (((x2 * 1.2507411) + -2.2576106) + (exp(x0 * (x1 + -0.10923062)) * log10((x7 * 0.63164103) + 0.5886425)))"
42,0.07054073,"(((x1 ^ 0.17260566) * (log10(x5 + x2) + 1.5841715)) + (exp(x0 * (x1 + -0.10882584)) * log10((x7 * 0.62685984) + 0.59758633))) + (x2 + -2.2692327)"
44,0.070485994,"(((log10(x5) + 1.6501045) * (x1 ^ 0.18980996)) + ((x7 * (x2 * 0.6033419)) + (exp((x1 + -0.1260247) * x0) * log10((x7 * 0.5865432) + 0.5950067)))) + -2.230191"
46,0.07048443,"(x2 + exp(x1 * x7)) + ((x1 ^ 0.19930823) + ((((log10(x5) * 0.08271477) * x3) + -2.8956258) + (((x0 ^ -0.39568564) + -0.28076237) * log10(x7 + 0.27744904))))"
