Complexity,Loss,Equation
1,0.10059883,"-1.4741353"
5,0.09776617,"x4 + -1.5056695"
6,0.09767214,"exp(x4) + -2.5064867"
7,0.07037716,"(x0 * 0.13543582) + -1.6841806"
8,0.06992256,"exp(x0 * -0.09675291) * -1.7015026"
9,0.06978707,"((x0 + 2.0037878) ^ 0.32674018) + -2.9692838"
10,0.06976452,"(-0.99203026 * exp(x0 * -0.19600667)) + -0.7227347"
11,0.06762705,"(x0 * (x2 + 0.09985083)) + -1.6822165"
12,0.067076854,"((log10(x2) + x0) * 0.136784) + -1.4757899"
13,0.06629494,"((x0 * 0.13184425) + -1.9688354) + (x2 ^ 0.3543707)"
14,0.06589157,"(exp(x0 * -0.07969566) * -1.9558731) + (x2 ^ 0.3836856)"
15,0.06576551,"((x2 ^ 0.3707444) + ((x0 ^ 0.7938313) * 0.1772258)) + -1.9832804"
16,0.06554087,"(((x0 + log10(x2)) * 0.13332865) + -1.5070299) + x4"
17,0.064898364,"((x0 * 0.12670927) + ((x2 + x4) ^ 0.39829925)) + -1.9976597"
18,0.06442576,"(log10(x0 + 1.8224313) + -2.1097229) + ((x4 + x2) * 2.07846)"
19,0.06420094,"((x0 * (x2 + 0.070403285)) ^ 0.7564246) + ((x4 ^ 0.5973629) + -1.8283049)"
20,0.06417391,"(exp(x0 * -0.2116966) * -0.8892387) + (((x4 + x2) ^ 0.4091364) + -1.1309834)"
21,0.06359425,"(log10(x0 + 1.7385267) + (exp(x1 * -1.5717297) + (x2 * 3.3098304))) + -2.081113"
23,0.06352061,"((log10(x0 + 1.7378268) + -2.0798779) + (exp(x1 * -1.7482114) * 1.2946464)) + (x2 * 3.2876856)"
24,0.062471077,"(((x0 ^ 0.70042884) + -0.9169013) * ((log10(x1) + -2.0356035) * -0.1604552)) + ((x2 ^ 0.3837568) + -1.808626)"
25,0.06213816,"log10(x0 + 1.837643) + (((x2 + x4) * 2.1428766) + (exp(x1 * -1.6390078) + -2.1232972))"
27,0.062129166,"(x4 * 1.7140256) + (log10(x0 + 1.8001996) + (((x2 * 2.757219) + exp(x1 * -1.6031804)) + -2.1245172))"
28,0.060829133,"((x2 + x4) ^ 0.41874194) + ((((x0 ^ 0.6869672) + -0.9437838) * ((log10(x1) + -1.9685537) * -0.16640323)) + -1.8466842)"
30,0.060784087,"((((x2 + x4) * 1.4845102) ^ 0.6346597) + -1.7595558) + (((log10(x1) + -1.9527198) * -0.16844681) * ((x0 ^ 0.6843055) + -0.93246025))"
32,0.060273238,"(((x2 + -1.291972) + x4) * (x3 ^ 0.124998204)) + ((x0 + x7) * ((log10(x1) * -0.104875304) + 0.15824088))"
34,0.05968326,"(((x3 ^ 0.0642777) * -1.4786938) + ((x4 + x2) * 1.9297887)) + (((log10(x1) + -1.6485285) * -0.18429177) * ((x0 ^ 0.65971047) + -0.7504274))"
36,0.05962816,"((((x0 ^ 0.66244006) + -0.7546836) * -0.18625389) * (log10(x1) + -1.6365807)) + ((((x4 + x2) ^ 0.780509) * 1.4068761) + ((x3 ^ 0.061095126) * -1.521197))"
37,0.059184227,"((x3 ^ 0.07101238) * -1.4531786) + (((x4 + x2) * exp(x5)) + (((log10(x1) + -1.686416) * -0.18032707) * ((x0 ^ 0.6752325) + -0.7876609)))"
38,0.0589165,"log10(x0 + x5) + ((((x2 * 3.3127837) + exp(x1 * -1.5348154)) + (log10(x1) * (((x0 ^ 0.3414758) * -0.21804152) + 0.22227995))) + -1.8776242)"
40,0.05873346,"(((((x0 ^ 0.3363403) * -0.2181222) + 0.2251168) * log10(x1)) + (((exp(x1 * -1.7901986) * 1.420163) + log10(x0 + x5)) + -1.8796444)) + (x2 * 3.3106012)"
42,0.05770815,"log10(x5 + x0) + (((((x2 + x4) * 2.0797844) + -1.9032995) + exp(x1 * -1.5951762)) + (log10(x1) * (((x0 ^ 0.38334924) * -0.21817102) + 0.2300579)))"
44,0.057462566,"((((exp(x1 * -1.9433122) + x4) * 1.548664) + -1.9048029) + (log10(x1) * (((x0 ^ 0.37595755) * -0.21652952) + 0.22940397))) + ((x2 * 2.6002753) + log10(x0 + x5))"
46,0.057274535,"((exp(x1 * -0.9828739) + (log10(x4 + 0.18543854) * log10(x3 + x1))) + -1.4227333) + ((log10(x1) * (((x0 ^ 0.5023861) * -0.18548086) + 0.59243053)) + log10(x0 + 1.1632594))"
47,0.056909587,"log10(x0 + 1.2553623) + ((exp((x1 * -1.2043755) + 0.6605951) + (log10(x1) * (((x0 ^ 0.49977896) * -0.18017296) + 0.6861868))) + (((x4 + -0.8415468) * log10(x1 + x3)) + -1.3522873))"
48,0.056198325,"(((log10(x4 + 0.16634457) * log10(x1 + x3)) + -1.4130338) + exp((x1 * -1.2507212) + 0.6032527)) + (log10(x0 + 1.2302569) + ((((x0 ^ 0.5077209) * -0.17761378) + 0.61765975) * log10(x1)))"
49,0.056021716,"(log10(x6 + x0) + (((x2 + -0.78675663) * log10(x3 + x1)) + ((((x0 ^ 0.48918614) * -0.2304614) + 0.7032248) * log10(x1)))) + (exp((x1 * -1.2775205) + 0.7056502) + -1.2916653)"
