Complexity,Loss,Equation
1,0.11293244,"-2.1425905"
5,0.11260393,"x5 + -2.7731006"
6,0.08753352,"log10(x0) + -3.0452"
7,0.069225214,"(x0 ^ 0.16360937) + -3.5686235"
8,0.06780713,"log10(x0 + 5.7190385) + -3.3281898"
10,0.06063028,"(exp(x0 * -0.050245017) * -1.1701124) + -1.4015994"
12,0.059727382,"(log10(x2 * x0) * 0.6526153) + -3.3083873"
14,0.053751342,"(exp((x2 + x0) * -0.04551735) * -1.7196233) + -1.3735082"
16,0.051672168,"((exp(x0 * -0.048736323) * -1.2024639) + -1.6846209) + (x2 * 0.036646932)"
17,0.051610082,"(exp(x2 * 0.028400598) + -2.6525335) + (exp(x0 * -0.048942883) * -1.2020879)"
19,0.047736637,"log10(x2 + x3) + ((exp(x0 * -0.050282523) * -1.2875619) + -2.3728385)"
20,0.04594875,"((x2 + x3) * 0.05321392) + ((exp(x0 * -0.050995123) * -1.3087837) + -1.9272313)"
22,0.04520433,"(((exp(x0 * -0.052909758) * -1.3556671) + -1.9756873) + (x3 * 0.075038865)) + (x2 * 0.05334221)"
24,0.044778693,"(((x2 + x3) * 0.05078019) + ((x4 + exp(x0 * -0.051737167)) * -1.3135633)) + -1.857669"
25,0.0444328,"(((exp(x0 * -0.05295623) * -1.264709) + -1.8292537) * exp(x4)) + ((x2 + x3) * 0.048793357)"
26,0.0428445,"((x3 * 0.08143158) + ((exp((x0 * -0.0888824) * x5) * -1.3747716) + -1.9003747)) + (x2 * 0.042256124)"
28,0.042750545,"((((x3 * 0.08857085) ^ 1.2225138) + (exp(x5 * (x0 * -0.09027684)) * -1.3731638)) + (x2 * 0.0418369)) + -1.8632596"
30,0.042430684,"(((x8 + -1.6029706) * exp((x5 * x0) * -0.09635741)) + ((x2 * 0.039619766) + (x3 * 0.06935484))) + -1.8684336"
31,0.041847326,"(((x2 * 0.038938936) + (exp((x0 * x5) * -0.08979687) * -1.3600235)) + (exp(x4) * -1.803531)) + (x3 * 0.07407739)"
33,0.04131487,"(((exp(x5 * (x0 * -0.09629791)) * (exp(x0 * -1.2966887) + -1.3936406)) + (x2 * 0.03855219)) + -1.8755237) + (x3 * 0.07574866)"
35,0.041143652,"(exp(x5 * (x0 * -0.097639084)) * (exp((x0 * -1.4199716) + 0.3682038) + -1.3958353)) + ((x3 * 0.074079044) + ((x2 * 0.03718164) + -1.8635329))"
37,0.0410836,"((x3 * 0.07363126) + ((x2 ^ 0.71408254) * 0.09399435)) + (((exp((x0 * -1.4922439) + 0.43320793) + -1.3919309) * exp(x5 * (x0 * -0.09777662))) + -1.9754826)"
38,0.040292796,"(((x3 * 0.06788371) + (exp(x4) * (exp(x0 * -1.3110011) + -1.7734343))) + (exp((x0 * x5) * -0.09762774) * -1.3834171)) + (x2 * 0.034825377)"
40,0.040125195,"((exp((x0 + -0.27682304) * -1.7642845) + -1.7675309) * exp(x4)) + ((x2 * 0.034278) + ((x3 * 0.06727323) + (exp(x0 * (x5 * -0.0962713)) * -1.3703663)))"
42,0.040100433,"(((x2 ^ 0.70613784) * 0.08906757) + ((exp(x4) * -1.8744084) + (x3 * 0.066992395))) + ((exp((x0 * -1.471051) + 0.41025823) + -1.3795758) * exp((x5 * x0) * -0.09832146))"
44,0.039985854,"(((x3 * 0.066583484) + (((x6 * 0.0026454437) + -1.766674) * exp(x4))) + (0.032515682 * x2)) + ((exp(x0 * -1.3092031) + -1.3691455) * exp(x5 * (-0.09878774 * x0)))"
45,0.039709017,"(((x2 * 0.032018136) + (x3 * 0.06786111)) + ((exp(x0 * -1.3208721) + -1.3678974) * exp((x5 * x0) * -0.09885547))) + (exp(x4) * (exp(x9 * -0.010107951) * -1.7633238))"
47,0.03902974,"(x3 * 0.06752876) + (((exp(-0.10501372 * (x5 * x0)) * (exp(x0 * -1.3170134) + -1.3155421)) + (x2 * 0.032321732)) + (((exp(x6 * -0.33986628) * -0.11893292) + -1.713886) * exp(x4)))"
49,0.038914356,"((exp(x5 * (-0.10443652 * x0)) * (exp(x0 * -1.3552355) + -1.3161422)) + ((x2 ^ 0.5510618) * ((exp(x6 * -0.41930872) * -0.034815893) + 0.17244332))) + ((exp(x4) * -1.9853116) + (x3 * 0.06571453))"
51,0.0388109,"((exp(x4) * -1.9870521) + (x3 * 0.064747706)) + (((x2 ^ 0.5369995) * ((exp(x6 * -0.4274415) * -0.034538824) + 0.1775873)) + ((exp((x0 * -1.475285) + 0.26883513) + -1.317684) * exp(x5 * (x0 * -0.10519942))))"
53,0.03871533,"((exp((x5 * -0.10531484) * x0) * -1.3073705) + ((exp(x0 * -1.4834144) + -1.9836174) * exp(x4))) + (((exp(x6 * -0.42310968) * x5) * -0.18391877) + (((x2 ^ 0.51189107) * 0.1867037) + (x3 * 0.06500651)))"
55,0.038600296,"((x5 * -0.17520988) * exp(x6 * -0.4247016)) + ((((x2 ^ 0.5111158) * 0.18340178) + ((x3 * 0.06475423) + (exp(x4) * -1.9753678))) + (exp((x0 * x5) * -0.107002504) * (exp((x0 + -0.2317837) * -1.5141028) + -1.3210269)))"
57,0.038534716,"((exp(x4) * -1.9694349) + ((x3 * 0.071969375) ^ 1.1752455)) + (((exp((x0 + -0.24487828) * -1.5180368) + -1.3232828) * exp((x0 * -0.10784302) * x5)) + (((x2 ^ 0.49351776) * 0.19551478) + ((exp(x6 * -0.44087586) * x5) * -0.16973095)))"
59,0.03851889,"((((exp(x6 * -0.2831346) * -0.14234118) + (((x5 * -0.04791026) + 0.09264079) * x3)) + ((x2 ^ 0.5207168) * 0.17188305)) + ((exp(x4) * -2.337005) + 0.420465)) + (exp((x0 * -0.10889798) * x5) * (exp((x0 + -0.23796496) * -1.4664966) + -1.3138491))"
61,0.038491536,"(((x3 * ((x5 * -0.050425746) + 0.095508575)) + ((exp(x4) * -1.9466509) + ((x2 ^ 0.5252596) * 0.17150185))) + ((exp((x0 + -0.23719996) * -1.4047143) + -1.3237985) * exp((x0 * x5) * -0.1095657))) + (exp(x5 * (x6 * -0.5577877)) * -0.12950878)"
62,0.038419373,"(((exp((x0 * -1.4734001) + 0.27418974) + -1.3182834) * exp((x5 * -0.10779969) * x0)) + (exp(x4) * -1.996468)) + (((((exp(x1) + x2) ^ 0.50113773) * 0.19583768) + (exp(x6 * -0.30010855) * -0.13603927)) + (x3 * ((x5 * -0.051758736) + 0.09412068)))"
64,0.038417302,"(((exp((x0 + -0.22002706) * -1.4744663) + -1.3105209) * exp((x5 * x0) * -0.107728794)) + ((exp(x4) * -2.3628402) + 0.37263653)) + (((((exp(x1) + x2) ^ 0.49958998) * 0.19326001) + (x3 * ((x5 * -0.049658116) + 0.091048494))) + (exp(x6 * -0.39784676) * -0.11876585))"
66,0.03836886,"(((x3 * ((x5 * -0.05322559) + 0.09475922)) + (exp((x6 * -0.60174876) * x5) * -0.1242604)) + ((exp(x4) * -2.0011952) + (((exp(x1) + x2) ^ 0.5057252) * 0.19132751))) + ((exp((x0 + -0.21629842) * -1.4774712) + -1.3178298) * exp((-0.10826785 * x0) * x5))"
68,0.038357053,"(((((x2 + exp(x1)) ^ 0.49951246) * 0.19167729) + ((exp(x4) * -2.36086) + 0.37926778)) + ((x3 * ((x5 * -0.0515441) + 0.09219785)) + (exp((x6 * x5) * -0.6115806) * -0.12474534))) + ((exp((x0 + -0.20828582) * -1.4731947) + -1.31225) * exp((x0 * -0.108518034) * x5))"
72,0.038240734,"(((exp((x0 + x1) * -1.7369614) + (exp(x4) * -2.3573413)) + (((exp(x1) + (x2 ^ 0.6041802)) * 0.11275095) + (exp(x6 * -0.34668684) * -0.1294648))) + ((x3 * ((x7 * -0.101613) + 0.13316828)) + ((x5 + 0.9859087) * 0.30415058))) + (exp(x0 * (x7 * -0.08447038)) * -1.3052502)"
73,0.038181875,"(exp((x0 + x1) * -1.6148242) + ((exp((x0 * x7) * -0.085011564) * -1.3107834) + (exp(x6 * -0.3701765) * -0.12085398))) + ((((x3 + 0.80848974) * ((x7 * -0.090700276) + 0.12518322)) + (((x2 ^ 0.6062405) + exp(x1)) * 0.11184643)) + ((exp(x4) * -2.2795413) + (exp(x5) * 0.1902515)))"
78,0.03812342,"((exp(x4) * -2.312468) + ((x5 + 0.94739956) * 0.29690677)) + ((exp((x0 + x1) * -1.767477) + (exp((x7 * -0.0839274) * x0) * -1.3070444)) + (((exp(x6 * -0.3331529) * -0.11595291) + ((x3 + (x9 * 0.1803541)) * ((x7 * -0.10100201) + 0.13379104))) + (((x2 ^ 0.63515884) + exp(x1)) * 0.099131666)))"
79,0.038095236,"((exp(x6 * -0.37335357) * -0.10878536) + (((exp(x1) + (x2 ^ 0.61007994)) * 0.10830288) + ((x3 + 0.8089148) * ((x7 * -0.09398958) + 0.12832202)))) + ((exp((x0 + x1) * -1.6126451) + (exp(x7 * (x0 * -0.08562191)) * -1.3173481)) + ((((x9 * 0.006640444) + -2.2839956) * exp(x4)) + (exp(x5) * 0.19291179)))"
80,0.037984032,"((exp((x0 + x1) * -1.7781525) + (exp((x7 * x0) * -0.08477485) * -1.3023202)) + ((((x2 ^ 0.5928892) + exp(x1)) * 0.11576059) + ((x3 * ((x7 * -0.09419812) + 0.15068679)) + (exp(x6 * -0.36194542) * -0.123275116)))) + (((exp(x5) ^ 0.7562899) * 0.2528302) + (exp(x4) * ((log10(x3) * -0.13892147) + -2.298698)))"
82,0.037975993,"(((exp(x5) ^ 0.7763727) * 0.25325775) + ((log10(x3) * -0.1541247) + (exp(x4) * -2.3145351))) + (((exp((x7 * x0) * -0.08481169) * -1.3017693) + exp((x1 + x0) * -1.8859968)) + ((((x3 + 0.0991033) * ((x7 * -0.09353143) + 0.1524777)) + (exp(x6 * -0.3670681) * -0.12334504)) + ((exp(x1) + (x2 ^ 0.58892894)) * 0.116675146)))"
84,0.037963066,"(exp(x7 * (x0 * -0.084814146)) * -1.3003505) + (((exp((x0 + x1) * -1.8863055) + ((exp(x5) ^ 0.77625704) * 0.25524184)) + (((x3 + 0.058644347) * ((x7 * -0.092389) + 0.15159272)) + (exp(x6 * -0.36689985) * -0.12245202))) + (((exp(x1) + (x2 ^ 0.58856726)) * 0.11617925) + ((log10(x3 + 0.058644347) * -0.15417741) + (exp(x4) * -2.313632))))"
86,0.0379015,"((((exp(x1) + (x2 ^ 0.5900545)) * 0.11256259) + (exp(x6 * -0.36207268) * -0.11341202)) + (((x7 * -0.096059054) + 0.15193486) * x3)) + ((((exp(x4) * (-2.2955322 + (x9 * 0.0065985667))) + (-0.14172398 * log10(x3))) + ((exp(x5) ^ 0.75634307) * 0.257856)) + ((exp((x7 * -0.084235355) * x0) * -1.3049062) + exp((x1 + x0) * -1.894677)))"
90,0.037899494,"((exp(x6 * -0.36207) * -0.11306499) + (((x3 + 0.0540018) * ((x7 * -0.092462175) + 0.15048648)) + (((x2 ^ 0.59083545) + exp(x1)) * 0.11333014))) + (((exp(x0 * (x7 * -0.08484263)) * -1.3058897) + exp((x1 + x0) * -1.8942691)) + (((x9 + -1.0673501) * 0.006366169) + (((exp(x5) ^ 0.7566424) * 0.25532317) + ((log10(x3) * -0.14332707) + (exp(x4) * -2.2980025)))))"
92,0.037866246,"(((exp(x1) + (x2 ^ 0.62492657)) * 0.10356179) + ((exp(x6 * -0.3739778) * -0.1190775) + (((x7 * -0.111649424) + 0.14476983) * (x3 + x1)))) + (((exp(x4) * -2.3040066) + (((exp(x5) ^ 0.76406354) * 0.26401222) + ((x1 * log10(x0)) * (x1 * 0.048245095)))) + (exp((x0 + x1) * -1.6482027) + (exp(x7 * (x0 * -0.08830686)) * -1.2902584)))"
94,0.037823997,"(((exp(x4) * -2.3078694) + ((exp(x5) ^ 0.76739013) * 0.27464807)) + ((x1 * 0.06861134) + ((x1 * x1) * (log10(x0) * 0.05083797)))) + (((exp(x6 * -0.36607817) * -0.11873356) + (((exp(x1) + (x2 ^ 0.63014084)) * 0.10006572) + (x3 * ((x7 * -0.10627488) + 0.13903661)))) + (exp((x0 + x1) * -1.6480687) + (exp((x0 * x7) * -0.08880295) * -1.2922193)))"
96,0.03781912,"((((exp(x4) * -2.311791) + ((x1 * 0.049887463) * (x1 * log10(x0)))) + ((exp(x5) ^ 0.7672141) * 0.2698738)) + (x1 * 0.0635214)) + (((((exp(x1) + (x2 ^ 0.6199454)) * 0.10297145) + (exp(x6 * -0.3713899) * -0.11758542)) + (((x7 * -0.10120302) + 0.13420036) * (x3 + 0.1510187))) + (exp((x0 + x1) * -1.6467661) + (exp(x7 * (x0 * -0.088256925)) * -1.2900083)))"
