Complexity,Loss,Equation
1,0.10974801,"-2.1239982"
5,0.09693501,"x7 + -2.7519045"
6,0.08795185,"log10(x2) + -3.065009"
7,0.06857767,"(x0 ^ 0.151985) + -3.49838"
8,0.06741726,"log10(x0 + 8.266599) + -3.3775506"
9,0.06387715,"((6.0634794 + x0) ^ -0.2018349) * -3.644476"
10,0.052624125,"log10(x0 + x2) + -3.393597"
11,0.049521178,"((x2 + x0) ^ -0.22746278) * -4.0796"
13,0.049157586,"(((x0 + x2) ^ -0.34589586) * -3.9136162) + -0.6616717"
14,0.045027535,"(exp((x0 + x2) * -0.041204333) * -1.6070095) + -1.3657067"
16,0.043495346,"(((x2 * 0.048168212) + -1.5136706) * exp(x0 * -0.036680166)) + -1.3756804"
18,0.042943798,"(((x2 * 0.03573119) + -1.3275576) * (exp(x0 * -0.043675054) + 0.28580675)) + -1.1794233"
19,0.04239696,"((log10(x0 + 1.5477512) * 0.6115583) + log10(x1 + x2)) + -3.8171942"
20,0.038628776,"(((x2 * 0.06588287) + -1.8946733) * exp((x0 + x1) * -0.046797857)) + -1.4030344"
22,0.038279373,"((x1 * 0.058388516) + (exp(x0 * -0.039170396) * ((x2 * 0.05831245) + -1.6925696))) + -1.5107487"
24,0.037640207,"(x1 * 0.058135707) + (((exp(x0 * -0.04690318) + 0.26849213) * ((x2 * 0.04390531) + -1.4794122)) + -1.3205717)"
26,0.035731472,"(((x2 * 0.053309336) + -1.672991) * exp((x0 * -0.06339995) * x5)) + ((x1 * 0.06564331) + -1.5153583)"
30,0.035623137,"((((x2 * 0.052317105) + -1.6581755) * exp(x5 * (x0 * -0.063525416))) + -1.5767461) + ((x9 + x1) * 0.06705716)"
31,0.035305828,"((((x2 * 0.049852885) + -1.6255673) * exp((x5 * x0) * -0.06646998)) + -1.6085118) + ((log10(x2) + x1) * 0.06816825)"
32,0.035071805,"(((log10(x0 + x3) * 0.54334325) + -3.2699692) + (x1 * 0.068477914)) + (exp(x5) * log10((x2 * 0.0787647) + 0.9972057))"
33,0.034682736,"((log10(x3 + x0) * 0.5540138) + ((x1 * 0.06885624) + -3.1301455)) + (log10((x2 * 0.15541694) + 0.5106514) * (x5 * 1.6665316))"
34,0.03452673,"(((x1 * 0.06819725) + -3.7308886) + (log10((x3 + x0) + 1.0754455) ^ 0.6312872)) + (log10((x2 * 0.07739074) + 0.9785857) * exp(x5))"
35,0.034250434,"(((x5 + 0.45692697) * log10((x2 * 0.2268731) + 0.8012776)) + (x1 * 0.06962489)) + ((log10((x3 + 1.0827861) + x0) ^ 0.6422427) + -3.7915227)"
36,0.034148008,"((log10((x3 + 1.0666101) + x0) ^ 0.63974965) + -3.737848) + ((exp(x5 + -0.4857707) * log10((x2 * 0.1788389) + 0.7702942)) + (x1 * 0.069272175))"
37,0.03368186,"(((x0 ^ 0.054078974) * -3.2303512) + (log10(x3 + x0) + (x1 * 0.061977744))) + ((x5 + 0.3563474) * log10((x2 * 0.2266669) + 0.6603953))"
38,0.03367305,"(x1 * 0.06197502) + ((exp(x5 + -0.63913035) * log10((x2 * 0.2208622) + 0.6681465)) + (((x0 ^ 0.053999577) * -3.2295716) + log10(x3 + x0)))"
39,0.03330107,"((log10(x2 * 0.33416733) * x5) + ((x1 * 0.057094846) + ((x0 ^ 0.2062209) * -0.91325724))) + ((log10(x0 + (x3 + 1.5149951)) * 1.5400869) + -2.6792617)"
41,0.0330064,"((x5 * log10((x2 + 0.38920197) * 0.34295297)) + (x1 * 0.056182116)) + (((x0 ^ 0.20372593) * -0.92459756) + ((log10((x0 + x3) + 1.5166517) * 1.533941) + -2.6820664))"
42,0.032989547,"(log10((x0 + x3) + 0.7483296) + ((exp(x5 + -0.5607453) * log10((x2 * 0.19179179) + 0.7298587)) + ((x1 * 0.06444129) + -3.0397472))) + ((x0 ^ 0.22472288) * -0.39285865)"
43,0.0328442,"(((x0 ^ 0.25551587) * -0.44989815) + (x1 * 0.061211627)) + ((log10((0.21436039 * x2) + 0.75333303) * (x5 + 0.37925002)) + (-2.9038897 + (log10(x0 + (x3 + 0.83484274)) ^ 1.1620115)))"
45,0.032659173,"((log10((x2 * 0.2082962) + 0.8407128) * (x5 + 0.4409655)) + (log10(x0 + (x3 + 0.6670331)) + ((((x0 ^ 0.18813853) + x4) * -0.5383507) + -2.8815675))) + (x1 * 0.061660416)"
46,0.032633558,"(((((x0 ^ 0.20643704) + x4) * -0.4550991) + log10(x0 + (x3 + 0.73705006))) + ((x1 * 0.062068686) + -2.9440117)) + (log10((x2 * 0.19159819) + 0.7510389) * exp(x5 + -0.571081))"
47,0.032383468,"((log10((x0 + x3) + 0.8425614) * 1.1406853) + ((((x0 ^ 0.21180701) + x4) * -0.5622493) + -2.923367)) + (((x5 + 0.37692976) * log10((x2 * 0.22410536) + 0.7606186)) + (x1 * 0.062131975))"
48,0.03235046,"(((x0 ^ 0.25202703) * -0.30734676) + (((log10(x4) * -0.11626056) + -3.341332) + log10(x3 + (x0 + 0.8701677)))) + ((x1 * 0.059545454) + (log10((x2 * 0.2181304) + 0.8229336) * (x5 + 0.38007164)))"
49,0.032309283,"(((log10(x3 + (x0 + 1.0289565)) + (log10(x4) * -0.117553644)) + ((x1 * 0.0588419) + -3.3909156)) + ((x0 ^ 0.2696294) * -0.2615068)) + (log10((x2 * 0.21279319) + 0.7777356) * exp(x5 + -0.6435548))"
50,0.03206043,"((x5 + 0.37238392) * log10((x2 * 0.21352449) + 0.8326065)) + (((log10(x3 + (x0 + 0.87317723)) + (log10(x4) * -0.12231187)) + (((x1 ^ 1.5125986) * 0.020818455) + -3.3144982)) + ((x0 ^ 0.26402685) * -0.28198716))"
51,0.031938456,"(exp(x0 * -1.4669086) * 2.0733953) + ((log10((x2 * 0.22295284) + 0.67370915) * (x5 + 0.29007724)) + ((log10(x0) + -3.3294141) + (((x0 ^ 0.27594054) * -0.26490298) + ((log10(x4) * -0.12834397) + (x1 * 0.06026264)))))"
53,0.031934284,"((log10(x0) + (((x1 * 0.06030376) + -3.317248) + (((x0 ^ 0.2725309) * -0.27021378) + (log10(x4) * -0.121841855)))) + ((x5 + 0.28898883) * log10(((x2 + -0.11325265) * 0.2271217) + 0.68849474))) + (exp(x0 * -1.4682943) * 2.0644877)"
55,0.0317528,"((log10((x2 * 0.19957866) + 0.8532179) * (x5 + 0.35893282)) + (x1 * 0.054216444)) + (((log10((x3 + 0.8384473) + x0) + -3.412885) + (log10(x4) * -0.10880613)) + ((exp(x0 * -1.6584705) + -0.20966195) * (x0 ^ 0.3012116)))"
59,0.031504977,"(((x5 + 0.22895764) * log10((x2 * 0.25559232) + 0.76212555)) + (((((x0 ^ 0.3267655) * -0.17347878) + (x1 * 0.05103289)) + -3.4499667) + exp(x5 * (x0 * -2.0024104)))) + ((log10(x4) * -0.10879014) + log10(x0 + (x3 + 0.72387487)))"
61,0.031312414,"(((((x0 + 3.5584168) ^ 0.2579729) * -0.32059497) + ((x1 * 0.051307563) + log10(x3 + (x0 + 0.6899064)))) + exp(x5 * (x0 * -1.8167968))) + (((log10((x2 * 0.24545966) + 1.0321983) * (x5 + 0.32806033)) + -3.2615647) + (log10(x4) * -0.1109492))"
63,0.031256087,"(((log10((x2 * 0.2648641) + 0.76254773) * (x5 + 0.2649776)) + log10((x3 + x0) + 0.7193157)) + (x1 * 0.05348877)) + ((((log10(x4) * -0.10994339) + -3.212301) + (exp(x5 * (x0 * -1.6556504)) * 0.80477494)) + (((x0 + 3.559226) ^ 0.2526379) * -0.33140582))"
65,0.031120278,"(((exp((x0 * x5) * -1.6640728) * 0.82070357) + (log10(x4 + 0.0396233) * -0.26387802)) + -3.269116) + ((((x1 * 0.049964257) + log10(x3 + (x0 + 0.7057464))) + (log10((x2 * 0.24473189) + 0.76687795) * (x5 + 0.25542328))) + (((x0 + 3.5623856) ^ 0.24385437) * -0.35890126))"
67,0.031096037,"(((((x0 + 3.6627102) ^ 0.24988544) * -0.34460077) + -3.2427878) + (((x1 * 0.0704781) + log10(x0 + (x3 + 0.70397544))) + ((x5 + 0.34603775) * log10((x2 * 0.24035572) + 1.0270717)))) + ((exp((x5 * x0) * -1.6583242) * 0.7790822) + (log10(x4 * x1) * -0.11068372))"
70,0.030972365,"((x5 + 0.2091017) * log10((x2 * 0.27883235) + 0.6917039)) + (((log10((x3 + x0) + 0.49575377) + ((x1 * 0.07181368) + ((x0 ^ 0.28719258) * -0.24070475))) + ((log10(x1 * x4) * -0.11943349) + -3.37401)) + ((exp(x3) ^ -0.34863192) * exp((x0 * -2.0227876) * x5)))"
72,0.030884491,"(((exp(x0 * (x5 * -1.9931004)) * (exp(x3) ^ -0.37343445)) + (log10(x9 + (x2 * 0.2437457)) * (x5 + 0.2234589))) + log10(x0 + (x3 + 0.46511596))) + (((x0 ^ 0.27957484) * -0.25710657) + ((x1 * 0.07324014) + ((log10(x4 * x1) * -0.122546) + -3.3369038)))"
74,0.030811869,"((log10((x2 * 0.2440143) + x9) * (x5 + 0.22143419)) + (exp((x5 * x0) * -2.0681138) * ((exp(x3) ^ -0.43635637) * 1.2766676))) + ((((x1 * 0.07176839) + (log10(x1 * x4) * -0.11923786)) + (log10(x3 + (x0 + 0.34921175)) + -3.2858586)) + ((x0 ^ 0.26736206) * -0.2846462))"
76,0.030767176,"(((x1 * 0.07237041) + (exp(x5 * (x0 * -2.0508676)) * ((exp(x3) * 0.39385355) ^ -0.34240407))) + -3.1656384) + ((log10(x9 + (x2 * 0.24995631)) * (x5 + 0.21623014)) + ((((x0 + 2.8064353) ^ 0.2472476) * -0.3530836) + (log10((x3 + x0) + 0.54281825) + (log10(x1 * x4) * -0.12350488))))"
79,0.030761067,"((exp((x0 * -2.0463555) * x5) * ((exp(x3) * 0.40957472) ^ -0.35375896)) + (log10(x9 + (x2 * 0.25141716)) * (x5 + 0.2371208))) + ((((x1 * 0.07170733) + -3.1455379) + (((exp(x9) + x0) ^ 0.23911004) * -0.3765012)) + (log10((x3 + 0.45680806) + x0) + (log10(x1 * x4) * -0.11925943)))"
81,0.030751167,"((exp((x0 * -2.0469344) * x5) * ((exp(x3) * 0.4095644) ^ -0.3533925)) + (log10(x9 + (x2 * 0.25242934)) * (x5 + 0.23739845))) + ((((x1 * 0.071226895) + -3.1452312) + (((exp(x9) + x0) ^ 0.23890911) * -0.37648547)) + (log10((x3 + 0.45653817) + x0) + (log10((x1 + 0.072171986) * x4) * -0.12054063)))"
