Complexity,Loss,Equation
1,0.22931804,"0.17984107"
2,0.22931802,"log10(1.512976)"
6,0.22655983,"log10(x1 + 1.4813408)"
7,0.2109297,"(x0 * 7.594076e-6) ^ 0.17909472"
8,0.20366952,"(log10(x0) * 0.058051754) + 0.128105"
10,0.19726707,"(exp(x0 * -0.03336291) * -0.123910606) + 0.26955855"
12,0.1971438,"((x3 * log10(x0)) * 0.091847815) + 0.122240886"
14,0.19217633,"(exp((x0 * -0.054572243) * x3) * -0.13241296) + 0.2724897"
15,0.1921135,"(exp(x0 * -0.033095133) * log10(x1 + 0.71334213)) + 0.27261418"
16,0.19043908,"((exp(x0 * -0.03709635) * -0.13421513) + 0.210268) + (x3 * 0.08930864)"
17,0.19041319,"((exp(x3) * 0.04326097) + 0.18507232) + (exp(x0 * -0.03727816) * -0.13469416)"
18,0.18807738,"((x1 + -0.16743556) * exp(x6 * (x0 * -0.06369138))) + 0.27258322"
19,0.18740146,"(log10(x1 + 0.6983671) * exp((x4 * x0) * -0.065992095)) + 0.27635798"
20,0.18668199,"((exp(x0 * -0.03812021) * -0.14043383) + (x6 * (x1 + 0.057973485))) + 0.21884713"
22,0.18528903,"((exp((x4 * x0) * -0.070245855) * -0.13925166) + 0.25567856) + (x6 * x1)"
24,0.18386415,"((exp((x3 * x0) * -0.058132567) * -0.1438863) + ((x1 + 0.045176774) * x6)) + 0.22794886"
26,0.18320732,"((x3 * 0.06549143) + ((x1 * 0.46123385) + (exp((x0 * x6) * -0.06257001) * -0.14378852))) + 0.21727562"
27,0.18295315,"((x1 * 0.53029895) + ((log10(x0) * -0.07077735) + (exp((x6 * -0.062239166) * x0) * -0.26529974))) + 0.40970606"
29,0.18236549,"((x4 * x1) + ((log10(x0) * -0.06076948) + 0.38811862)) + (exp((x0 * -0.06242627) * x6) * -0.24930196)"
