Complexity,Loss,Equation
1,0.082236096,"-2.0478852"
5,0.0739233,"x4 + -2.2234004"
6,0.048530016,"log10(x9) * 0.30397832"
7,0.04786454,"(x9 ^ -0.052180916) * -0.9080079"
8,0.04692945,"(log10(x9) * 0.25307167) + -0.3455699"
9,0.045837644,"((x9 ^ 0.15635721) * 7.6443925) + -2.759195"
11,0.045305666,"(x4 + -1.261363) * (x9 ^ -0.040660273)"
12,0.044698782,"(x4 + (log10(x9) * 0.22415185)) + -0.71671677"
13,0.041491777,"log10(x4) + (log10(x3 + 2.411581) * -1.1741678)"
15,0.04099842,"(log10(x4 + -0.015877329) + -0.37449813) + (log10(x3) * -0.8763077)"
17,0.040746287,"(log10(x4 + -0.015877329) + -0.3588709) + (log10(x3 + 0.23671794) * -0.8763077)"
18,0.03739639,"(log10(x4) + (log10(x3) * -0.58186686)) + (log10(x9) * 0.10466872)"
20,0.036949087,"(log10(x9) * 0.13355742) + ((log10(x3) * -0.54104894) + (0.8000731 * log10(x4)))"
22,0.036618695,"((log10(x4) * 0.73776627) + (log10(x3 + 0.9072721) * -0.63518506)) + (log10(x9) * 0.12295396)"
23,0.036381017,"((log10(x9) * 0.10319154) + (log10(x3) * (exp(x4) * -0.4995478))) + log10(x4)"
24,0.03629825,"(log10(x4) + (((x4 * -0.79813457) + -0.44427472) * log10(x3))) + (log10(x9) * 0.10503489)"
25,0.0361707,"log10(x4) + ((((x4 + log10(x3)) * -0.5620941) + ((x9 ^ 0.13085502) * 2.982462)) + -1.0324394)"
26,0.03595698,"(log10(x9) * 0.12994322) + (((((x4 * -1.0763327) + -0.4025254) * log10(x3)) + log10(x4)) + 0.17599185)"
27,0.035767104,"(log10(x9) * 0.11183939) + ((log10(x4) + ((exp(x4) * log10(x3)) * -0.4831684)) + x1)"
28,0.035553407,"(log10(x4) + (log10(x3) * -0.64604914)) + (((x5 * -0.5012597) * log10((x0 * 0.014100847) + 0.66407114)) + -0.6935127)"
30,0.035044566,"((((x6 * -0.28900355) * log10((x0 * 0.0168142) + 0.60582465)) + (log10(x3) * -0.68205464)) + (log10(x4) * 0.6168429)) + -0.9880176"
32,0.034181066,"log10(x4) + ((((x4 + log10(x3)) * -0.6471224) + -0.59153366) + (log10((x0 * 0.017167857) + 0.59373975) * (x5 * -0.48248646)))"
34,0.033754528,"((((x4 + log10(x3)) * -0.6208428) + log10(x4)) + ((x5 ^ 0.6414387) * (log10((x0 * 0.019894257) + 0.45566526) * -0.49460897))) + -0.64068"
36,0.03356045,"(((x4 + log10(x3)) * -0.61016047) + (((((x5 ^ 0.67364323) + 0.25357273) * -0.4172126) * log10((x0 * 0.018476818) + 0.4341874)) + -0.6708233)) + log10(x4)"
37,0.03328801,"((log10((x0 * 0.019044446) + 0.4858409) * ((x5 + exp(x8)) * -0.29998657)) + (log10(x4) + -0.6159369)) + ((log10(x3) + x4) * -0.6499257)"
38,0.032791544,"(x6 * (log10((x0 * 0.021452013) + 0.87209857) * -0.24649808)) + (((log10(x4) * 0.56873953) + -1.3367965) + (((x9 ^ 0.15671651) * 3.2453291) + (log10(x3) * -0.5568878)))"
40,0.032601178,"(x6 * (log10((x0 * 0.024735348) + 0.77746433) * -0.22187616)) + (((x9 ^ 0.13893698) * 2.5932984) + ((log10(x4) * 0.5019852) + ((log10(x3 + 0.84960425) * -0.6576371) + -1.2949749)))"
41,0.03220344,"((((log10(x3) * -0.576865) + (log10(x4) * 0.5912812)) + -1.3186722) + ((x9 ^ 0.13128245) * exp(x7))) + ((x6 * -0.23258942) * log10((x0 * 0.023388514) + 0.7961432))"
43,0.03189338,"((log10((x0 * 0.025144273) + 0.83224356) * (x6 * -0.21981908)) + ((log10(x4) * 0.5959465) + ((log10(x3 + 0.6484805) * -0.65390736) + ((x9 ^ 0.12540145) * exp(x7))))) + -1.2347155"
45,0.03131159,"((log10(x4) * 0.59265125) + ((((x9 ^ 0.12159262) * exp(x7)) + (log10(x3) * -0.5316716)) + x2)) + (((log10((x0 * 0.023558538) + 0.7783762) * -0.22005819) * x6) + -1.4629266)"
47,0.031063246,"((((log10(x3 + 0.7285268) * -0.6201967) + ((x9 ^ 0.13096482) * exp(x7))) + ((log10(x4) * 0.51475185) + -1.3768303)) + x2) + ((x6 * -0.23120388) * log10((x0 * 0.022863016) + 0.7511977))"
49,0.03064423,"((x6 * (x4 + -0.31924838)) * log10((x0 * 0.033324286) + 0.5747865)) + ((exp(x7) * (x9 ^ 0.12501864)) + (((log10(x3) * -0.53876126) + ((log10(x4) * 0.5644959) + -1.4717056)) + x2))"
50,0.030536449,"(((log10(x3) * -0.5594678) + ((log10(x4) * 0.6033689) + (exp(x7) * (x9 ^ 0.12796287)))) + ((x2 * log10(x0)) + -1.3945569)) + ((x6 * -0.27403513) * log10((x0 * 0.02388774) + 0.76424456))"
51,0.030434847,"((-1.4541365 + (x2 + ((0.5039448 * log10(x4)) + ((x9 ^ 0.12209053) * exp(x7))))) + (((-0.46312383 + x4) * x5) * log10((0.032274175 * x0) + 0.554109))) + (log10(x3 + 0.7661218) * -0.6062869)"
