Complexity,Loss,Equation
1,0.057808988,"-2.477762"
5,0.052851975,"x4 + -2.6004405"
6,0.049785964,"log10(x4) + -1.5209305"
7,0.046528723,"(x2 * 4.6985545) + -2.7093275"
8,0.04645177,"exp(x2 * -1.9533716) * -2.7249224"
10,0.041246597,"log10(x2 + x4) + -1.6701417"
11,0.040025823,"((x4 + x2) * 3.155273) + -3.0107613"
13,0.039685555,"((x2 * -4.2189116) + 2.9497497) * (x4 + -1.0241163)"
15,0.038929723,"((x4 + x2) * 3.0820103) + (x1 + -3.0428522)"
16,0.036094792,"(-1.3720376 * (x3 ^ 0.08075598)) + log10(x2 + x4)"
17,0.03587872,"log10(x2 + x4) + (log10(x3 + 18.460737) * -1.1167636)"
18,0.035483707,"(x2 * 3.0228958) + (((x3 ^ 0.10462992) * -1.2911187) + log10(x4))"
19,0.0354431,"((log10(x3 + 4.2590795) * -0.5364248) + log10(x2 + x4)) + -1.0189421"
20,0.034209646,"log10(x2 + x4) + (((x9 + x3) ^ 0.13508831) * -1.1676164)"
21,0.034169007,"-1.0801073 + ((log10(x3 + x9) * -0.51486844) + log10(x2 + x4))"
22,0.034127053,"(((x3 + x9) ^ 0.13862532) * -1.1449428) + log10(x4 + (x2 + -0.005999732))"
23,0.033110306,"((log10(x3 + (x9 * 2.8477085)) * -0.7153311) + log10(x4 + x2)) + -0.7695218"
25,0.032743562,"((log10(x3) * -0.43044657) + ((x2 * 2.6519442) + (x9 * -0.062747575))) + (-1.0671306 + log10(x4))"
27,0.0323496,"log10(x4) + ((log10(x3 + 0.7762374) * -0.549542) + (((x2 * 2.560727) + -0.9052977) + (x9 * -0.067292735)))"
29,0.03175245,"(log10(x3 + 1.7583044) * -0.56081516) + ((((x9 * -0.07656172) + log10(x4)) * 0.79363537) + ((x2 * 2.826786) + -1.0931852))"
30,0.030994061,"(((x2 + log10(x4)) * 1.6533802) + (x9 * -0.08524506)) + (log10(x3) * ((log10(x4) * -0.7975051) + -1.4957826))"
