Complexity,Loss,Equation
1,0.06938618,"-2.056375"
5,0.06535048,"x4 + -2.2256446"
6,0.04280941,"log10(x9) * 0.30051187"
7,0.04159768,"(x9 ^ -0.049753793) * -0.9368621"
8,0.040916305,"(log10(x9) * 0.24206816) + -0.4034734"
9,0.039694577,"((x9 ^ 0.18792215) + -0.25218993) * 10.435433"
10,0.038923882,"log10(x1 * x9) * 0.24797148"
12,0.036075618,"(log10(x3) + (x9 ^ -0.04482797)) * -0.68201315"
13,0.03584372,"(x3 * -0.021282997) + ((x9 ^ -0.0380955) * -1.0036427)"
14,0.03464985,"((x3 ^ 0.24135955) * -0.58029443) + (log10(x9) * 0.15369098)"
15,0.033930473,"((x3 ^ 0.510514) + 10.92548) * ((x9 ^ 0.2571465) + -0.16432594)"
17,0.033912912,"(((x9 ^ 0.26437086) + -0.16394198) * ((x3 ^ 0.50699145) + 12.075719)) + 0.18691474"
18,0.033180524,"(log10(x3) * -0.6645897) + ((x9 ^ -0.028346717) * (x4 + -1.0627062))"
19,0.032625735,"x4 + (((x9 ^ 0.2763702) + -0.16044053) * ((x3 ^ 0.5110575) + 12.000196))"
20,0.032311797,"x4 + ((((x9 ^ 0.16885209) * 4.82036) + (log10(x3) * -0.5317082)) + -2.0600924)"
22,0.03211935,"x4 + ((((x9 ^ 0.20237142) * 6.5929537) + (log10(x3 + 1.5353848) * -0.66827106)) + -1.8165057)"
23,0.031760138,"((log10(x4) * 0.5135839) + (log10(x3) * -0.56432843)) + (((x9 ^ 0.22937053) + -0.16276908) * 8.275447)"
24,0.031697676,"(x2 + -2.170216) + (x4 + ((log10(x3) * -0.5009452) + ((x9 ^ 0.16047733) * 4.6066437)))"
26,0.03101651,"(x4 + (log10((x0 * 0.15010324) + x3) * -0.7521314)) + (((x9 ^ 0.21100014) + -0.28818816) * 5.743183)"
28,0.030915448,"(((x9 ^ 0.21314919) + -0.25071126) * 6.863137) + ((((x4 + -0.20754066) * 0.08784888) * x0) + (log10(x3) * -0.5614147))"
30,0.030568486,"((log10(x3) * -0.5396646) + x1) + ((x4 + (x0 * -0.004544675)) + (((x9 ^ 0.21542205) + -0.2826093) * 6.8354635))"
31,0.030194199,"(((x9 ^ 0.19351101) + -0.2993629) * 5.7821846) + ((log10(x3) * -0.5198817) + (log10(x0) * ((x2 + -0.32610396) + x4)))"
32,0.029734502,"(((x0 * 0.075247146) * ((x4 + x2) + -0.2591425)) + (log10(x3) * -0.5082543)) + (((x9 ^ 0.19054367) + -0.31139153) * 5.870363)"
34,0.029711276,"((((x0 + 2.457778) * 0.06686916) * ((x4 + -0.26573342) + x2)) + (log10(x3) * -0.50912416)) + (((x9 ^ 0.19229013) + -0.30701786) * 5.902623)"
36,0.029558863,"((x4 + (x2 + -0.26642424)) * (x0 * 0.06876596)) + ((((x9 ^ 0.2164091) + -0.23573342) * 7.912419) + ((log10(x3) * -0.4807962) + x1))"
38,0.02910396,"((x0 ^ -0.40816528) * (log10(x5 + x7) + -2.0324376)) + ((log10(x3) * -0.4823169) + ((x2 + (x4 + -1.0656327)) * log10(x0)))"
39,0.029073045,"(((x9 ^ 0.22742452) + -0.20484035) * 8.354393) + ((log10(x3) * -0.5163838) + (((x4 + (x2 + -0.25848103)) * (x0 * 0.08177531)) + (log10(x7) * 0.48804522)))"
41,0.029072275,"(log10(x7 + -0.017004868) * 0.48803583) + (((((x2 + -0.25826865) + x4) * (x0 * 0.08164792)) + (log10(x3) * -0.5162497)) + (((x9 ^ 0.22716591) + -0.20444429) * 8.35437))"
42,0.028563334,"((((x0 ^ -0.37363657) * (log10(x5 + x7) + -2.0675201)) + (log10(x0) * (x2 + (x4 + -1.0856177)))) + (log10(x3) * -0.42836747)) + x1"
