Complexity,Loss,Equation
1,0.09837685,"-1.550254"
5,0.095738634,"x2 + -1.5842978"
6,0.09565192,"exp(x2) + -2.5852613"
7,0.07907515,"(x7 * 0.13000572) + -1.6957607"
8,0.07805851,"log10(x7 + 1.9561784) + -2.0137968"
10,0.07803387,"(log10(x7 + 1.4958913) * 0.8378767) + -1.8711529"
11,0.074007474,"((x7 * x1) ^ 0.4446751) + -1.7284352"
12,0.07357212,"log10((x7 * x1) + 0.07020679) + -0.5599727"
13,0.07289114,"(((x7 + 0.074657515) * x1) ^ 0.28916427) + -1.890741"
14,0.07173827,"((x1 ^ -0.06578405) * -1.6080528) + log10(x7 + 2.0428596)"
15,0.071569644,"(((x7 + 0.9301976) ^ 0.41550285) * (x1 ^ 0.20803921)) + -2.1843925"
16,0.0714576,"((x1 ^ 0.092028394) * (log10(x7 + 1.2425671) + 1.7718662)) + -3.0750246"
17,0.07043354,"((x1 ^ 0.2162097) * ((x5 + x7) ^ 0.4336147)) + -2.1571145"
18,0.07041476,"(x1 * 4.261306) + (log10(x5 * (x7 + 1.5372634)) + -1.9947739)"
19,0.06840249,"(x1 ^ 0.2770014) + ((x7 * ((x0 ^ -0.05587646) + -0.77422917)) + -2.0676918)"
21,0.06618595,"((((x0 + 7.833005) ^ -0.56326145) * (x7 ^ 0.564471)) + -2.113816) + (x1 ^ 0.27745098)"
23,0.064802036,"((x1 ^ 0.27597165) + ((((x0 + 7.7133603) ^ -0.23437513) + -0.32976004) * (x7 ^ 0.6147566))) + -2.1032052"
25,0.06374594,"(x1 ^ 0.27911982) + (((((x0 + 6.634191) ^ -0.05080212) + -0.81341434) * ((x7 ^ 0.5376045) * 3.5848572)) + -2.1014075)"
26,0.06320865,"log10(x7 + 0.95597035) + (((((x0 * x7) ^ 0.5323691) * -0.038568974) + -2.077748) + (x1 ^ 0.27969003))"
28,0.06240992,"(((x7 * x0) ^ 0.51178634) * -0.043216795) + (((log10(x7 + 0.5361085) + 2.0730577) * (x1 ^ 0.08703232)) + -3.0514178)"
30,0.06234109,"(log10(x7 + 1.0070175) + ((x2 + -2.1524312) + (((x7 * x0) ^ 0.53319407) * -0.037653696))) + (x1 ^ 0.26089725)"
31,0.061533503,"((x1 ^ 0.33795804) * ((x7 + 0.40103453) ^ 0.5834887)) + (((x7 * -3.2685075e-5) * (((x0 ^ -0.97912717) + 0.05262385) ^ -3.3754752)) + -1.8897197)"
33,0.06133024,"((x1 ^ 0.33795804) * (((x7 ^ 0.5834887) * 0.7840683) + 0.51004136)) + (-1.8897197 + ((x7 * -3.2685075e-5) * (((x0 ^ -0.97912717) + 0.05262385) ^ -3.3754752)))"
35,0.060122147,"(((x1 ^ 0.1929887) * ((x7 + 0.5189315) ^ 0.39567944)) + (((x7 * -1.3443866e-5) * (((x0 ^ -0.97080034) + 0.06681177) ^ -3.9870405)) + x2)) + -2.141174"
40,0.0600993,"(((log10(x3) * -0.26111904) + ((x1 * x7) ^ 0.43439367)) + ((((x7 ^ 0.61942124) * -6.4029424e-5) * (((x0 ^ -0.96681935) + 0.05487689) ^ -3.3141088)) + -1.4887911)) + x2"
42,0.05983314,"(((x7 ^ 0.6350162) * -6.989487e-5) * (((x0 ^ -0.9611092) + 0.057056684) ^ -3.3230224)) + (((x2 * 1.664707) + (((x1 * x7) ^ 0.45649475) + -1.4827988)) + (log10(x3) * -0.27557176))"
44,0.059674714,"(((((x0 ^ -0.95673925) + 0.056239862) ^ -3.3248916) * ((x7 ^ 0.61953205) * -6.792496e-5)) + ((((x1 * x7) ^ 0.45431426) + -1.4720215) + ((x1 + -0.30032244) * log10(x3)))) + x2"
46,0.05958288,"((((x1 * x7) ^ 0.45805767) + ((x1 + -0.30760375) * log10(x3))) + ((x2 ^ 0.8791071) + -1.4794245)) + (((x7 ^ 0.60693073) * -7.148902e-5) * (((x0 ^ -0.95558214) + 0.056942165) ^ -3.3235934))"
47,0.05928977,"(((x2 * 1.8954413) * log10(x0)) + ((((x7 ^ 0.60036033) * -8.772429e-5) * (((x0 ^ -0.98976475) + 0.061044116) ^ -3.3378437)) + ((log10(x3) * -0.27526435) + -1.5019536))) + ((x7 * x1) ^ 0.41039404)"
49,0.059144694,"(log10(x3) * -0.29244718) + ((log10(x0 * 1.8962336) * x2) + (((((x0 ^ -0.9881005) + 0.0607606) ^ -3.3576837) * ((x7 ^ 0.6054989) * -7.8995785e-5)) + ((((x7 + 0.019113114) * x1) ^ 0.3670784) + -1.5160912)))"
50,0.058960125,"((((x7 ^ 0.5576251) * -8.767319e-5) * (((x0 ^ -0.9889154) + 0.060813513) ^ -3.3366613)) + -1.5030622) + ((log10(x3) * -0.27702236) + ((log10(x0) * (exp(x6) * x2)) + ((x1 * x7) ^ 0.4098833)))"
51,0.05885532,"((((x1 * x7) ^ 0.40973145) + -1.5029477) + ((log10(x0) * ((x2 * 2.805821) * x6)) + (((x7 ^ 0.56849164) * -8.515991e-5) * (((x0 ^ -0.98878795) + 0.060832746) ^ -3.336507)))) + (log10(x3) * -0.27698177)"
53,0.05875731,"(((((x7 ^ 1.1342107) * x1) ^ 0.42483774) + (((x7 ^ 0.6543204) * -8.915113e-5) * (((x0 ^ -0.97770786) + 0.061242953) ^ -3.3238444))) + (log10(x3) * -0.27405402)) + ((((x5 * x2) * 2.4399917) * log10(x0)) + -1.5041953)"
54,0.058752377,"(((((x7 * x1) ^ 0.40973133) + (log10(x3) * -0.27660152)) + -1.5021536) + ((log10(x0) * exp(x5)) * (x5 * x2))) + ((((x0 ^ -0.988849) + 0.060788713) ^ -3.3366165) * ((x7 ^ 0.556757) * -8.409542e-5))"
55,0.058674097,"((((x7 ^ 0.6553493) * -8.536967e-5) * (((x0 ^ -0.9816353) + 0.061271973) ^ -3.3281205)) + (((x1 * (x7 ^ 1.1563207)) ^ 0.42485863) + ((x5 ^ 1.5746725) * ((log10(x0) * 2.4403245) * x2)))) + ((log10(x3) * -0.269642) + -1.503183)"
57,0.058370713,"(log10(x3) * -0.28157547) + ((((x7 * x1) ^ 0.4128017) + (((x1 * (x5 ^ 2.7392974)) * (log10(x0) * 2.739297)) + (x2 + -1.5232172))) + ((((x0 ^ -0.98028594) + 0.06121726) ^ -3.3310964) * ((x7 ^ 0.5654605) * -8.630315e-5)))"
61,0.058314227,"((x2 + ((x1 * x7) ^ 0.4116255)) + -1.5178628) + (((((x7 ^ 0.6057072) * -8.823021e-5) * (((x0 ^ -0.98043656) + 0.0615393) ^ -3.331351)) + ((((x5 * 1.1361915) ^ 2.7393072) * 2.5422018) * (x1 * (log10(x0) + -0.34857842)))) + (log10(x3) * -0.28109682))"
63,0.0582187,"((((x1 * x7) ^ 0.40536946) + -1.5081967) + (x1 * -0.7486497)) + (((((x0 ^ -0.97376734) + 0.061848186) ^ -3.3242645) * ((x7 ^ 0.6040989) * -9.195199e-5)) + (((x5 ^ 2.2277284) * (x1 * (log10(x0) * 2.8734422))) + ((log10(x3) * -0.2835385) + x2)))"
65,0.05817043,"(((((x6 * 1.2393795) ^ 2.2277284) * ((x1 * 2.8734417) * log10(x0))) + (((x7 * x1) ^ 0.4053857) + ((x1 * -0.7486506) + -1.5082332))) + ((((x0 ^ -0.9737848) + 0.06181024) ^ -3.324285) * ((x7 ^ 0.604102) * -9.137155e-5))) + (x2 + (log10(x3) * -0.28357357))"
66,0.057695538,"((exp(x4) * ((log10(x0) * -0.36430755) + 0.24032614)) + ((((x2 + 0.2203641) * x7) ^ 0.71536887) + ((log10(x1 * 11.432285) + 1.601842) * (((x0 ^ -0.7163778) * -0.76729405) + 0.45395458)))) + ((((x0 ^ -0.23167403) ^ -1.7861365) * (x7 * -0.053225428)) + ((x5 * 0.24453501) + -2.1915789))"
68,0.057572555,"(((x5 * 0.25889766) + (log10(x3) * -0.2562932)) + ((((x0 ^ -0.40616268) * -0.93062204) + 0.66655886) * (log10(x1 * 11.437828) + 1.6434548))) + (((((x0 ^ -0.17264599) ^ -1.7950499) * ((x7 ^ 0.65524924) * -0.15628801)) + -1.6989785) + ((((x2 + 0.27019235) * x7) ^ 0.5850958) + (log10(x0) * -0.31001732)))"
70,0.057566367,"(((x5 ^ 0.6139076) * 0.3805969) + ((log10(x0) * -0.3039459) + -1.8252507)) + (((x7 ^ 0.6655664) * (((x0 ^ -0.1712727) ^ -1.7886717) * -0.15782602)) + (((log10(x3) * -0.2578578) + (((x2 + 0.2748726) * x7) ^ 0.5939928)) + ((((x0 ^ -0.41380236) * -0.9179745) + 0.6559073) * (log10(x1 * 11.437327) + 1.6354638))))"
72,0.05717263,"(x3 * -0.013225149) + ((((log10(x1 * 11.433723) + 1.6034949) * (((x0 ^ -0.7195572) * -0.7651034) + 0.44675425)) + (((log10(x0) * -0.37204695) + 0.3078158) * exp(x4))) + (((x7 * -0.068584055) * ((x0 ^ -0.21467575) ^ -1.7462777)) + ((((x2 + 0.31902328) * (x7 ^ 0.75293964)) + (x5 * 0.26828492)) + -2.09226)))"
73,0.057057,"((((log10(x0) * -0.34322158) + 0.2663928) * exp(x4)) + ((((x2 + 0.20634867) * x7) ^ 0.72398794) + ((log10(x1 * 11.431829) + 1.5880097) * (((x0 ^ -0.72621423) * -0.74430084) + 0.43652135)))) + (((log10(x3) * -0.20969197) + (x5 * 0.28657666)) + ((((x0 ^ -0.22975056) ^ -1.7757822) * (x7 * -0.059478424)) + -2.022377))"
75,0.056888208,"((exp(x4 * 0.7884919) * ((log10(x0) * -0.3842937) + 0.32350084)) + ((x2 + 0.32486743) * (x7 ^ 0.73952395))) + ((log10(x3) * -0.2183871) + (((log10(x1 * 11.435438) + 1.6471455) * (((x0 ^ -0.6579697) * -0.79537064) + 0.47750214)) + ((((x0 ^ -0.22036164) ^ -1.7475286) * (x7 * -0.066543505)) + ((x5 * 0.2864216) + -2.0393538))))"
77,0.056755725,"(exp(x4 * x6) * ((log10(x0) * -0.40213504) + 0.32677332)) + ((((((x0 ^ -0.60298145) * -0.79582995) + 0.49846205) * (log10(x1 * 11.438008) + 1.7109352)) + ((x2 + 0.331515) * (x7 ^ 0.74068123))) + ((((log10(x3) * -0.22652619) + -2.0114293) + (x5 * 0.26026273)) + (((x0 ^ -0.204926) ^ -1.7733) * (x7 * -0.07269582))))"
79,0.056716166,"((((log10(x0) * -0.40442252) + 0.3386325) * exp((x6 * 0.9117219) * x4)) + ((log10(x1 * 11.437318) + 1.6964562) * (((x0 ^ -0.58745366) * -0.8074498) + 0.50868917))) + (((log10(x3) * -0.2316353) + (((x5 * 0.25903437) + ((x7 ^ 0.7406617) * (x2 + 0.3249075))) + -2.0051634)) + (x7 * (((x0 ^ -0.20687853) ^ -1.7729044) * -0.07070058)))"
81,0.056641355,"((x5 * 0.2684648) + ((exp((0.83757335 * x6) * x4) * (0.38353994 + (log10(x0) * -0.44283444))) + -2.0289671)) + (((x7 * (-0.07356073 * ((x0 ^ -0.20074123) ^ -1.7875043))) + (((x7 ^ 0.74748105) * (x2 + 0.32532105)) + (log10(x3 + 0.38353994) * -0.25475237))) + ((log10(x1 * 11.441835) + 1.8269068) * (((x0 ^ -0.54292774) * -0.7969086) + 0.5298201)))"
82,0.056632545,"((((log10(x1 * 11.441069) + 1.7363961) * (((x0 ^ -0.49396527) * -0.91456795) + 0.59875095)) + (log10(x3) * -0.24342014)) + ((x5 ^ -0.11851097) * -1.5874317)) + ((((x7 ^ 0.72657543) * -0.13789652) * ((x0 ^ -0.17346142) ^ -1.784901)) + ((((log10(x0) * -0.2397474) + 0.20319614) * exp(x4)) + ((((x2 + 0.26414442) * x7) ^ 0.62615263) + (log10(x0) * -0.19384195))))"
84,0.056560975,"((((log10(x0) * -0.24220344) + 0.20110945) * exp(x4)) + (((x7 ^ 0.7441959) * -0.1630992) * (((x0 + 1.4285603) ^ -0.16342339) ^ -1.7856467))) + (((log10(11.441417 * x1) + 1.74763) * (((x0 ^ -0.4726317) * -0.8999975) + 0.6063846)) + (((log10(x0) * -0.19684967) + (((x2 + 0.3333428) * x7) ^ 0.6475915)) + ((x5 ^ -0.10426973) * ((log10(x3) * -0.23868941) + -1.5892185))))"
86,0.05655951,"((((log10(x0) * -0.24220344) + 0.20110945) * exp(x4 + -0.007016502)) + (((x7 ^ 0.7441959) * -0.1630992) * (((x0 + 1.5195583) ^ -0.16342339) ^ -1.7856467))) + ((((log10(x1 * 11.441417) + 1.74763) * (((x0 ^ -0.4726317) * -0.8999975) + 0.6063846)) + ((log10(x0) * -0.19684967) + (((x2 + 0.3333428) * x7) ^ 0.6475915))) + (((log10(x3) * -0.23868941) + -1.5892185) * (x5 ^ -0.10426973)))"
88,0.05648908,"((((x7 ^ 0.76830316) * -0.1600983) * (((x0 + 2.2756271) ^ -0.1655782) ^ -1.7872462)) + ((((log10(x0) * -0.251058) + 0.20542674) * (x1 + exp(x4))) + ((((x0 ^ -0.4647251) * -0.90463984) + 0.61355746) * (log10(x1 * 11.441438) + 1.7482196)))) + ((((x5 ^ -0.10425331) * ((log10(x0) * -0.1833485) + -1.5941802)) + (((x2 + 0.34997794) * x7) ^ 0.6673029)) + (log10(x3) * -0.24398021))"
92,0.05638695,"((((x0 ^ -0.16693859) ^ -1.8127208) * ((x7 ^ 0.72787225) * -0.14250281)) + (((log10(x1 * 11.444364) + 1.8236194) * (((x0 ^ -0.48228425) * -0.88827443) + 0.5473747)) + (log10(x0) * -0.19700444))) + ((((log10(x3) * -0.22920373) + ((x7 * (x2 + 0.24093363)) ^ 0.5954182)) + (((x5 * 0.28539035) + -1.8215178) + ((x7 * 0.5749821) * x1))) + (((log10(x0) * -0.26245493) + 0.20503043) * exp(x4)))"
94,0.056366775,"((exp(x4) * ((log10(x0) * -0.25508335) + 0.19835661)) + ((((x7 * (x2 + 0.21459228)) ^ 0.60071075) + ((x1 * 0.49264503) * x7)) + ((((x0 ^ -0.4539531) * -0.8982611) + 0.5771068) * (log10(x1 * 11.446324) + 1.8718544)))) + (((log10(x0) * -0.2234272) + ((((x7 ^ 0.7473793) * -0.11803151) * ((x0 ^ -0.18374391) ^ -1.7938881)) + (((x5 ^ 0.4647275) ^ -0.27520856) * -1.5465087))) + (log10(x3) * -0.22305849))"
95,0.056362074,"(((((-0.26559097 * log10(x0)) + 0.21967) * exp(x4)) + ((x3 * -0.014729367) + ((x5 ^ -0.12327928) * -1.617069))) + (((-0.88472897 * (x0 ^ -0.45192593)) + 0.56317145) * (1.9212126 + log10(x1 * 11.448716)))) + (((((x1 * (-1.4094427 * x4)) * x7) + (((0.20968948 + x2) * x7) ^ 0.58881974)) + (((x0 ^ -0.17671856) ^ -1.7832204) * (-0.13030037 * (x7 ^ 0.7061545)))) + (log10(x0) * -0.23070627))"
96,0.056206487,"(((log10(x0) * -0.2143696) + (((x0 ^ -0.17603755) ^ -1.7892925) * ((x7 ^ 0.71823627) * -0.13626218))) + (((x5 ^ -0.11924889) * ((log10(x3) * -0.1942774) + -1.5796808)) + ((((x0 ^ -0.4564074) * -0.8794313) + 0.5592137) * (log10(x1 * 11.448156) + 1.9099879)))) + (((x7 * (x4 * -1.5155139)) * x1) + ((exp(x4) * ((log10(x0) * -0.26206198) + 0.20444591)) + (((x2 + 0.23591635) * x7) ^ 0.5786826)))"
98,0.056197964,"(((((x7 * (x2 + 0.22963756)) ^ 0.57658654) + (((x7 ^ 0.7113647) * -0.13520464) * ((x0 ^ -0.17671873) ^ -1.7845699))) + (log10(x0) * -0.20977281)) + (((x7 * x4) * -1.4518845) * x1)) + ((exp(x4 * 0.9509848) * ((log10(x0) * -0.2726594) + 0.22381626)) + (((((x0 ^ -0.4453526) * -0.8781236) + 0.57212836) * (log10(x1 * 11.44857) + 1.9180568)) + (((x5 ^ -0.1292197) * -1.5814219) + (log10(x3) * -0.21261676))))"
100,0.05617965,"(((((x1 * -1.4052501) * (x4 * x7)) + (((x2 + 0.22780311) * x7) ^ 0.57501733)) + (log10(x0) * -0.20564501)) + (((x0 ^ -0.17739628) ^ -1.7825509) * ((x7 ^ 0.70882004) * -0.13414973))) + ((((log10(x0) * -0.27684137) + 0.22649957) * exp(x4 * 0.9467892)) + (((((x0 ^ -0.4445912) * -0.8725271) + 0.57241875) * (log10(x1 * 11.448862) + 1.9249644)) + ((log10(x3 + 0.22611888) * -0.2202185) + ((x5 ^ -0.1314862) * -1.5786065))))"
