Complexity,Loss,Equation
1,0.101009935,"-1.5247604"
5,0.09061614,"x4 + -1.7010795"
6,0.083100736,"log10(x4) + -0.75401205"
7,0.07510751,"(x3 ^ 0.22839229) * -0.9097494"
8,0.07330017,"log10(x3 + 5.4866357) * -1.2894583"
10,0.0729223,"(log10(x3 + 13.981583) * -2.084016) + 1.3500923"
11,0.059493843,"(log10(x3) * -0.7717273) + log10(x4)"
13,0.058440346,"log10(x4) + (log10(x3 + 0.61886793) * -0.75151986)"
15,0.05762063,"((x2 + -0.81759006) * log10(x3)) + log10(x4)"
16,0.05743976,"log10(x4) + (log10(x3) * log10(x1 + 0.13374114))"
17,0.056089215,"(log10(x3 + 1.9047432) * -0.8139598) + log10(x4 + x2)"
18,0.055932194,"log10(x4) + (log10(x1 + 0.14508341) * log10(x3 + 0.9396042))"
19,0.055566333,"log10(x4) + ((x1 ^ 0.45985308) + ((log10(x3) * -0.60367525) + -0.3841881))"
21,0.055067215,"(log10(x4) + x2) + ((log10(x3 + 1.4754592) * -0.8065763) + x1)"
22,0.055016037,"(log10(x4) + -1.251549) + ((log10(x3) * -0.61249346) + exp(x1 + x2))"
23,0.054104626,"log10(x2 + x4) + ((log10((x0 * 0.043326546) + x3) * -0.6718806) + -0.18792048)"
25,0.054078083,"(log10(x3 + (x0 * 0.03953408)) * -0.67615324) + (log10(x2 + (x4 * 1.1315032)) + -0.22785857)"
27,0.053367987,"(x2 + log10(x4 + x1)) + ((log10(x3 + (x0 * 0.04822305)) * -0.6504191) + -0.23897079)"
29,0.05318398,"(x1 + -0.364288) + ((log10(x3 + (x0 * 0.039160606)) * -0.6594852) + log10(x2 + (x4 * 1.4183496)))"
31,0.052576154,"((x5 * x1) + (log10(x4 + x2) + (log10(x3 + (x0 * 0.055434108)) * -0.5031097))) + -0.39255366"
33,0.052262925,"(log10((x0 * 0.06645167) + x3) * -0.51327854) + ((log10(x4 + x2) * 0.88934827) + ((x5 * x1) + -0.46257767))"
37,0.051997174,"(((log10(x3 + x0) * -0.47642657) + (log10(x3) * -0.39165384)) + (log10(x0) * ((x1 * x2) ^ 0.20528233))) + log10(x4)"
38,0.05180625,"log10(x4) + ((((x4 * -0.64389706) + -0.73428994) * log10((x0 * 0.15593332) + x3)) + (log10(x0) * ((x2 + x1) ^ 0.76966786)))"
40,0.051368557,"log10(x4) + ((log10(x6 * x0) * (x2 + x1)) + ((log10(x3 + (x0 * 0.097256936)) * -0.71792173) + (x4 * -0.72262865)))"
42,0.0511253,"log10(x4) + ((x4 * -0.8122873) + ((log10((x0 * 0.14324102) + x3) * -0.7271143) + (log10(x6 * x0) * (x2 + (x1 ^ 0.80883497)))))"
44,0.050705127,"log10(x4) + ((x4 * -0.89234877) + (((x2 + (x1 ^ 0.716325)) * log10(x0 * (x5 + 0.67731565))) + (log10(x3 + (x0 * 0.22138695)) * -0.6998584)))"
46,0.050663486,"((log10((x5 + 0.6596637) * x0) * (x2 + (x1 ^ 0.7208092))) + log10(x4)) + ((x4 * -0.7121386) + ((log10(x3 + (x0 * 0.20145749)) * -0.67123926) + -0.06648632))"
49,0.050651133,"((x4 * -0.8434478) + ((x2 ^ 0.595179) * log10(x0))) + (((log10(x3 + x0) * -0.36372477) + (((x6 * x1) * 0.6629423) + log10(x4))) + (log10(x3) * -0.35943288))"
50,0.050443687,"((((x1 ^ 0.67223674) + x2) * log10(x0 * (x5 + 0.61769104))) + ((log10(x3 + (x0 * 0.21231541)) * -0.69352925) + (x4 * (x9 + -1.3324084)))) + (log10(x4) + -0.06393475)"
51,0.05038111,"(((log10(x4) + (((x2 ^ 0.70276815) + 0.12405771) * log10(x0))) + ((x1 * 0.6913819) * x6)) + ((x4 * -0.72262937) + (log10(x3) * -0.31652567))) + (log10(x0 + x3) * -0.47192785)"
53,0.0503194,"(((log10(x3) * -0.31790298) + (log10(x3 + x0) * -0.5194069)) + log10(x4)) + (((x6 * (x1 * 0.6446623)) + ((x4 * -0.80115443) + 0.06368853)) + (((x2 ^ 0.7027487) + 0.14420132) * log10(x0)))"
54,0.050141696,"(((((x4 * -0.9612024) + -0.21423669) * log10(x3)) + log10(x4)) + ((exp(x7) * x6) * x1)) + ((log10(x0 + x3) * -0.55521685) + (((x2 ^ 0.70357835) + 0.1726651) * log10(x0)))"
55,0.04987062,"(log10(x3) * ((x4 * -0.8693736) + -0.22428235)) + (((log10(x0 + x7) * ((x2 ^ 0.7003877) + 0.14699084)) + ((log10(x3 + x0) * -0.5276792) + ((x6 * x1) * 0.57969224))) + log10(x4))"
57,0.04984277,"((((x4 * -0.8171516) + -0.23794885) * log10(x3)) + (log10(x4) + (log10(x3 + x0) * -0.5103849))) + ((((x2 ^ 0.7045006) + 0.1378278) * log10(x0 + x7)) + (x6 * ((x1 * 0.6216948) + -0.004666423)))"
58,0.049717903,"(((log10(x7 + x0) * ((x2 ^ 0.68711025) + 0.16008295)) + (log10(x3) * ((x4 * -0.96239316) + -0.20395052))) + ((log10(x3 + x0) * -0.55258274) + log10(x4))) + ((exp(x7) * x6) * x1)"
59,0.049681213,"((log10(x0 + x3) * -0.60620713) + (log10(x4) + (x6 * (x1 * (x3 ^ -0.34527645))))) + ((log10(x0 + x7) * ((x2 ^ 0.68467194) + 0.18055068)) + (((x4 * -0.8022411) + -0.15874256) * log10(x3)))"
60,0.049436297,"(((x1 * exp(x0 * -0.026528144)) * x6) + log10(x4)) + ((log10(x0 + x7) * ((x2 ^ 0.68797374) + 0.15993164)) + (((log10(x3) * -0.3124584) + (log10(x3 + x0) * -0.48583594)) + (x4 * -0.8676434)))"
62,0.049342066,"((((x2 ^ 0.68450075) + 0.15273154) * log10(x0 + x7)) + ((log10(x3) * -0.32587278) + (log10(x4) + (log10(x3 + x0) * -0.4779344)))) + ((x4 * -0.7580265) + ((exp(x0 * -0.020896243) + -0.14240488) * (x6 * x1)))"
64,0.04928236,"(((((x4 * -0.85795355) + -0.2141892) * log10(x3)) + (log10(x0) * (x7 * -0.22194944))) + log10(x4)) + ((((x7 + 0.97923243) * 0.3156484) + x1) + ((log10(x0) * ((x2 ^ 0.7145394) + 0.18497671)) + (log10(x3 + x0) * -0.7588303)))"
65,0.04860281,"(((log10(x0 + x3) * -0.81267446) + (((x3 ^ -0.35489002) + x7) * 0.30073395)) + (x4 * -0.85074115)) + ((x5 * x1) + ((((x7 * log10(x0)) * -0.25341257) + log10(x4)) + (log10(x0) * ((x2 ^ 0.6791274) + 0.17947333))))"
67,0.048495322,"((x4 * -0.87347907) + ((log10(x0 + x3) * -0.81784856) + (((x3 ^ -0.3733605) + x7) * 0.29902035))) + ((((x2 ^ 0.7113123) + 0.19247407) * log10(x0)) + (((x1 * (x5 + 0.48894617)) + ((x7 * -0.24485497) * log10(x0))) + log10(x4)))"
