Complexity,Loss,Equation
1,0.09154691,"-1.8476651"
5,0.088683404,"x1 + -1.8820866"
6,0.08571392,"log10(x1) + -0.32756066"
7,0.07784179,"(x1 ^ -0.1333503) * -1.154126"
8,0.07776798,"(log10(x1) + -1.5916822) * 0.59319913"
11,0.07713329,"((x1 * x6) ^ -0.12890069) * -1.0991516"
12,0.07681836,"-0.814663 + (log10(x6 * x1) * 0.593713)"
13,0.07485412,"(x1 ^ -0.12189767) * ((x5 * -0.03995569) + -1.1263673)"
14,0.07357211,"exp(x0 * -0.03630104) + ((x1 ^ -0.11669807) * -1.2872201)"
15,0.07356074,"(log10(x1) * 0.5372259) + (exp(x0 * -0.036840167) + -1.1197082)"
17,0.073557794,"exp((x0 + -1.4647379) * -0.037925866) + ((log10(x1) * 0.53446054) + -1.1234359)"
18,0.07333787,"((x1 ^ -0.11590871) * -1.2870213) + exp(-0.03569608 * (x0 + x5))"
19,0.071135275,"(x5 * -0.09727094) + ((log10(x0) * -0.41478133) + (log10(x1) * 0.56755525))"
20,0.06817793,"exp(x0 * -0.031101428) + ((x1 ^ -0.09671849) * ((x5 * -0.06360188) + -1.2837682))"
21,0.0676566,"((log10(x1) * 0.46030203) + ((x5 * log10(x0 * 0.036583733)) * -0.19435994)) + -0.98535293"
23,0.06719659,"((log10((x0 * 0.12214306) + -3.7019482) * (x5 * -0.12641558)) + (log10(x1) * 0.45595634)) + -0.9952396"
25,0.06717614,"(log10((x0 * 0.1596144) + -5.0135193) * ((x5 * -0.11020424) + -0.028046727)) + ((log10(x1) * 0.45851848) + -0.9686063)"
27,0.0655684,"((log10(x1) + (x7 + -1.7798691)) * 0.5398271) + ((x7 * -0.43215653) * (log10(x0) + x4))"
29,0.06435446,"(((x7 * -0.37547797) + -0.10106768) * (log10(x0) + x4)) + (((x7 + log10(x1)) + -1.9542252) * 0.4810941)"
31,0.06435094,"((x7 * 0.4922079) + ((x4 + log10(x0)) * ((x7 + 0.2637304) * -0.38188592))) + ((log10(x1) * 0.47699457) + -0.9486288)"
33,0.06434396,"(((x4 + log10(x0 + -1.4904282)) * ((x7 + 0.26383048) * -0.38329193)) + (x7 * 0.49067658)) + ((log10(x1) * 0.47686714) + -0.94846904)"
35,0.06402046,"(((x7 + 0.15022384) * ((x4 + -0.6570953) * -0.5644339)) + ((log10(x1) * 0.45665538) + -0.9770774)) + (((x7 + 0.33520386) * log10(x0)) * -0.36325628)"
37,0.063981056,"(((((x7 + 0.16468355) * -0.5254157) * (x4 + -0.71400595)) + -1.0096973) + (log10(x0 + -3.4347205) * ((x7 * -0.35940722) + -0.105948664))) + (log10(x1) * 0.46332636)"
39,0.06384425,"((log10(x1) * 0.44841298) + (((x4 + -0.771324) * ((x7 + 0.15817595) * -0.5475556)) + -0.99393076)) + ((log10(x0) + x3) * ((x7 + 0.3317596) * -0.35105228))"
41,0.063766815,"((x7 + x3) * ((x4 + -0.6272157) * -0.56627136)) + ((((x7 + 0.48160022) * -0.3262967) * (log10(x0) + x3)) + ((log10(x1) * 0.47259587) + -0.8658069))"
43,0.06341282,"((x4 + -0.90493643) * ((x7 + 0.14269671) * -0.545682)) + ((((log10(x1) * 0.7232221) + ((log10(x0) * x7) * -0.4182201)) + -0.69686264) + ((x1 * x9) * -1.4963092))"
45,0.063235424,"(x9 * (x1 * -1.1948609)) + ((((((x7 + 0.17451032) * -0.38124025) * log10(x0)) + -0.6992383) + (log10(x1) * 0.6595738)) + ((x4 + -0.7424883) * ((x7 + 0.16838929) * -0.5611747)))"
47,0.06322581,"((((log10(x1) * 0.5582287) + -0.8903296) + (x4 * (x1 * x9))) + ((x4 + -0.698912) * ((x7 + 0.3622855) * -0.52322024))) + (((x7 + 0.37532052) * log10(x0)) * -0.3487787)"
49,0.0629908,"(((x3 + log10(x0)) * -0.36988518) * (x7 + 0.15142415)) + ((((x9 * -1.4672661) * x1) + (((x7 + 0.17988074) * -0.50485337) * (x4 + -0.9658427))) + ((log10(x1) * 0.6967596) + -0.6469207))"
51,0.06297694,"((((x4 + -0.7908582) * (-0.5624528 * (x7 + 0.14149375))) + ((log10(x1) + -0.67470723) * 0.7050773)) + ((x1 * (x9 * -1.4903636)) + -0.08753153)) + ((x3 + log10(x0)) * ((x7 + 0.20260592) * -0.36221945))"
52,0.06274873,"(((log10(x5) + -1.1503297) * x1) * x9) + (((((log10(x0) + 0.321754) * ((x7 + 0.22341502) * -0.37194398)) + (((x4 + -0.96114343) * -0.53336287) * (x7 + 0.25388014))) + (log10(x1) * 0.6382913)) + -0.7610229)"
54,0.06272979,"(((x7 + 0.2197413) * ((log10(x0 + -1.3317218) + 0.34448433) * -0.36733523)) + (x1 * ((log10(x5) + -1.1430997) * x9))) + ((log10(x1) * 0.6296467) + ((((x7 + 0.23706752) * -0.5422338) * (x4 + -0.92744446)) + -0.7615082))"
