Complexity,Loss,Equation
1,0.090102166,"-1.5323511"
5,0.087270185,"x1 + -1.5679069"
6,0.08716898,"exp(x1) + -2.5691068"
7,0.07221952,"(x7 * 0.12806149) + -1.6726521"
8,0.070801765,"log10(x7 + 1.9830405) + -1.9972465"
9,0.07056588,"((x7 + 1.1283872) ^ -0.19684453) * -1.748526"
10,0.07056501,"(log10(x7 + 0.76914513) * 0.55633044) + -1.6441617"
11,0.06481824,"((x1 * x7) ^ 0.4451384) + -1.7118253"
13,0.06331715,"(((x7 + 0.085218936) * x1) ^ 0.2748821) + -1.8956572"
14,0.062298153,"log10(x7 + 2.0950081) + ((x1 ^ -0.07340322) * -1.5587485)"
15,0.062282216,"(-1.4900993 + log10(x7 + 2.0935223)) + (0.34660646 * log10(x1))"
17,0.061748542,"(((x1 * (x7 + 0.08773927)) ^ 0.27530968) + x2) + -1.9292886"
18,0.060808055,"(((x5 * x1) ^ -0.07980509) * -1.4703356) + log10(x7 + 1.8652143)"
19,0.060762636,"((log10(x1) * 0.35280666) + log10((x7 * x5) + 1.521946)) + -1.3488178"
21,0.0606661,"((x5 * 0.35126433) + -1.7038049) + (log10(x7 + 1.7177849) + (log10(x1) * 0.35362032))"
22,0.06016565,"log10(x7 + 1.9563993) + (((x5 * x1) ^ -0.06868435) * (x2 + -1.577057))"
23,0.060051054,"(log10((x7 * x5) + 1.5645977) + x2) + ((log10(x1) * 0.31550777) + -1.4473377)"
24,0.059155107,"(((x0 * x7) * -0.004622261) + -2.1885765) + ((x1 ^ 0.2804669) + log10(x7 + 1.2703929))"
25,0.05821726,"((x7 * -0.0045086145) * x0) + (log10(x7 + 1.2883246) + ((log10(x1) * 0.34366062) + -1.2937486))"
27,0.058089614,"((x7 + -0.3474702) * (x0 * -0.0052548125)) + ((log10(x7 + 1.210775) + (log10(x1) * 0.3481183)) + -1.2813095)"
28,0.057983786,"((x7 * (x0 * -0.004479417)) + log10(x7 + 1.3150096)) + ((x1 ^ 0.26216996) + (x2 + -2.258119))"
29,0.057548862,"log10(x7 + 1.30961) + ((((x7 * x0) * -0.004547503) + ((log10(x1) * 0.30690396) + -1.3865496)) + x2)"
31,0.057381067,"((log10(x1) * 0.30405837) + (((x0 * ((x7 + -0.40698597) * -0.0054121334)) + x2) + -1.3846132)) + log10(x7 + 1.20664)"
33,0.057133857,"(x2 + log10(x7 + 1.2581933)) + (((x7 * (x0 * -0.0043526054)) + -2.3069332) + ((exp(x5) * x1) ^ 0.29218152))"
34,0.056650877,"(x1 ^ 0.2710657) + ((((x7 * x0) * -0.004733512) + (x3 * -0.020454796)) + (log10((x5 * 2.027388) + x7) + -2.1022637))"
36,0.056389477,"((((x3 * -0.019135376) + -2.0578847) + (x1 ^ 0.27978626)) + ((x7 + -0.41569158) * (x0 * -0.0061105476))) + log10(x7 + (x5 * 1.6588523))"
37,0.056335784,"(((x7 + -0.44946027) * (x0 * -0.0063129077)) + (log10(x3) * -0.31369168)) + ((log10((x5 * 1.5964471) + x7) + (x1 ^ 0.28323835)) + -1.9260553)"
38,0.055834495,"(((x2 + (x1 ^ 0.26843205)) + ((x0 * -0.0046642707) * x7)) + ((x3 * -0.019521637) + log10(x7 + (x5 * 2.0538006)))) + -2.153337"
40,0.05557073,"((x3 * -0.017361948) + ((x0 * ((x7 + -0.46335912) * -0.0060720365)) + ((x2 + -2.1329505) + log10((x5 * 1.6536739) + x7)))) + (x1 ^ 0.26296946)"
41,0.055545438,"((((x0 * -0.006284214) * (x7 + -0.46926793)) + ((x1 ^ 0.27265266) + x2)) + (log10(x3) * -0.29120398)) + (log10((x5 * 1.6074654) + x7) + -1.9978055)"
43,0.05550586,"((log10(x1) * 0.2905711) + (((log10(x0) * (x2 + 0.15085748)) + -1.3907093) + ((x0 * log10(x3)) * (x7 * -0.01127908)))) + log10(x7 + x5)"
44,0.055426776,"(x1 ^ 0.26296946) + (((x3 * -0.017361948) + ((((x7 + -0.46335912) * -0.006072037) * (x9 + x0)) + -2.1329505)) + (x2 + log10((x5 * 1.6536739) + x7)))"
45,0.055407852,"((log10(x7 + 0.91235876) + (log10(x3) * (x7 * (x0 * -0.010464235)))) + ((((x5 * 0.18541668) + x2) * log10(x0)) + (log10(x1) * 0.28966144))) + -1.4230115"
46,0.05512079,"(((x5 * 0.27661848) + ((log10(x1) * 0.003358385) * (x7 * x0))) + ((x1 ^ 0.21238239) + ((log10(x3) * -0.26464516) + (x2 + -2.3444982)))) + log10(x7 + 1.4683977)"
47,0.05499961,"(((log10(x3) * x7) + 0.5504371) * (x0 * -0.00867612)) + ((((log10(x1) * 0.3001417) + (log10(x0) * (x2 + (x5 * 0.28833175)))) + log10(x7 + 0.9864368)) + -1.4684429)"
49,0.05493593,"(((x0 + 2.3524628) * -0.008380199) * ((x7 * log10(x3)) + 0.560055)) + (((((x2 + (x5 * 0.27558798)) * log10(x0)) + log10(x7 + 0.9155625)) + (log10(x1) * 0.29483807)) + -1.4231801)"
50,0.054540318,"(((log10(x1) * x0) * ((x7 * 0.0034466102) + 0.0057296483)) + ((((x5 * 0.2981215) + (x1 ^ 0.40099108)) + ((x3 * -0.018373128) + log10(x7 + 1.5251645))) + (log10(x0) * 0.32209322))) + -2.4082897"
51,0.054412227,"((((((x7 * 0.0039903224) + 0.005659852) * (x0 * log10(x1))) + ((x1 ^ 0.16648589) + (log10(x3) * -0.26457277))) + (x5 * 0.31401423)) + ((log10(x0) * 0.34945372) + log10(x7 + 1.2485986))) + -2.610885"
53,0.054129895,"(((((log10(x3) * -0.24809986) + -2.0406823) + (x6 * (x1 ^ 0.40832955))) + (((x0 * log10(x1)) * (0.007349382 + (x7 * 0.004237927))) + log10(1.2052423 + x7))) + x2) + (log10(x0) * 0.43324625)"
54,0.05386629,"(x5 * 0.2645577) + ((((((x7 * 0.0038345892) + 0.006073905) * (log10(x1) * x0)) + (x1 ^ 0.10587107)) + (x3 * -0.015297806)) + ((((x2 + 0.33495116) * log10(x0)) + -2.8387315) + log10(x7 + 1.3297913)))"
55,0.053828165,"(((x5 * 0.28886464) + ((((x7 * 0.004067258) + 0.00518826) * (log10(x1) * x0)) + (log10(x7 + 1.286279) + (x1 ^ 0.121020295)))) + (log10(x3) * -0.27759364)) + (((log10(x0) * 0.32798973) + -2.7011788) + x2)"
56,0.053769667,"((log10(x0) * (exp(x2) + -0.72054005)) + ((log10(x1) * x0) * ((x7 * 0.003900578) + 0.0048440425))) + (((log10(x3) * -0.24421991) + (x1 ^ 0.12637144)) + ((log10(x7 + 1.2796861) + (x5 * 0.29644108)) + -2.6859539))"
58,0.0537693,"(((log10(x0 + -0.08287238) * (exp(x2) + -0.7203632)) + ((((x7 * 0.0038984162) + 0.0048842006) * (log10(x1) * x0)) + ((log10(x3) * -0.24409968) + -2.6858363))) + ((x5 * 0.29639012) + log10(x7 + 1.2797314))) + (x1 ^ 0.12555513)"
59,0.053682882,"((((log10(x1) * x0) * ((x7 * 0.0038627808) + 0.0057285046)) + (log10(x3) * -0.270284)) + log10(x7 + 1.2847551)) + ((((x6 * x1) ^ 0.13504866) + (-2.6170795 + ((x5 * 0.23302338) + x2))) + (log10(x0) * 0.35537234))"
61,0.053662866,"((log10(x7 + 1.286502) + ((x5 * 0.23481302) + x2)) + -2.5952504) + (((log10(x3 + 0.5213131) * -0.28523135) + ((log10(x1) * x0) * ((x7 * 0.0037727896) + 0.0057936967))) + (((x6 * x1) ^ 0.13535006) + (log10(x0) * 0.35401252)))"
62,0.053516895,"((x5 * 0.228142) + ((x0 * (log10(x1) * 0.0043379716)) + (x3 * -0.012063461))) + (((((x7 * x0) * ((x4 * -0.013874434) + -0.012016611)) + (log10(x0) * (x1 ^ 0.35097325))) + (x2 + -2.0796924)) + log10(x7 + 1.1326916))"
64,0.0535003,"((x5 * 0.228142) + ((x0 * (log10(x1) * 0.0043379716)) + (x3 * -0.012063461))) + (((((x7 * (x0 + 0.22517566)) * ((x4 * -0.013874434) + -0.012016611)) + (log10(x0) * (x1 ^ 0.35097325))) + (x2 + -2.0796924)) + log10(x7 + 1.1326916))"
68,0.053464767,"(((x3 * -0.011521673) + log10(x7 + 1.1235231)) + ((((x2 * x7) + -2.0712101) + (x5 * 0.23070376)) + (((x7 * (x0 + 3.587758)) * ((x4 + 1.2767112) * -0.008232225)) + ((x0 * log10(x1)) * 0.003991947)))) + ((x1 ^ 0.34195328) * log10(x0))"
70,0.053239092,"(x5 * 0.2527309) + ((((x7 * (x0 + 3.5876613)) * ((x4 + 1.2106816) * -0.008473349)) + (log10(x7 + 1.1377388) + (x3 * -0.014106034))) + ((((x2 * x7) * 0.7254961) + -2.078575) + (((x1 ^ 0.30934533) * log10(x0)) + (log10(x1) * (x0 * 0.0052036834)))))"
72,0.053175986,"(log10(x7 + 1.1498828) + (((log10(x1) * 0.005737715) * x0) + (((x7 * (x0 + 3.5877326)) * ((x4 + 1.1703709) * -0.008603587)) + (x5 * 0.25850248)))) + ((((x7 * (x2 * 0.77418756)) + (x3 * -0.011377806)) + ((x1 ^ 0.2787981) * log10(x0 + -0.054024145))) + -2.1433773)"
74,0.053157788,"((log10(x7 + 1.1345644) + ((x0 * 0.0055898153) * log10(x1))) + (((((x4 + 1.2007216) * -0.008352803) * ((x0 + 3.5850456) * x7)) + (x5 * 0.27286065)) + (((x2 * (x7 * 0.7307695)) + -2.043074) + (((x3 * 0.62132144) + 4.361191) * -0.02040109)))) + ((x1 ^ 0.2853717) * log10(x0))"
79,0.05314319,"((((((x4 + 1.1028779) * -0.009311495) * ((x0 + 3.581016) * x7)) + ((x5 * 0.2704444) + log10(x7 + 1.1332653))) + (((x2 * x7) * exp(x4)) + -2.040614)) + ((((x3 * 0.6191723) + 4.3608985) * -0.020798923) + ((x1 ^ 0.28774303) * log10(x0 + 0.22085886)))) + ((log10(x1) * 0.0054940097) * x0)"
