Complexity,Loss,Equation
1,0.07099956,"-2.2361143"
5,0.06954093,"x3 + -2.2711227"
6,0.069495074,"exp(x3) + -3.2716815"
7,0.053057935,"(x4 * 0.158287) + -2.3871286"
8,0.052657787,"log10(x4 + 1.5539354) + -2.599864"
9,0.052568592,"((x4 + 1.5708244) ^ 0.32554504) + -3.563903"
10,0.052562457,"(log10(x4 + 2.8704247) * 1.5535314) + -3.117091"
11,0.050588068,"((x1 ^ 0.55248505) * x4) + -2.3830872"
12,0.044767134,"log10((x2 * 4.6308956) + x0) * -1.2959768"
14,0.04355458,"(x4 * 0.137552) + ((log10(x0) * -0.2909471) + -2.0966825)"
15,0.043222442,"(log10(x4 + 1.8513339) + -2.3907855) + (log10(x0) * -0.2890957)"
16,0.041888047,"(((log10(x0) * -0.114114635) + 0.23727852) * (x4 + 1.6512923)) + -2.5863686"
18,0.040673796,"(((x1 ^ 0.5894394) * x4) + -2.0910397) + (log10(x0) * -0.29348838)"
20,0.03950179,"((log10(x0) * ((x1 ^ 0.2803667) + -0.6743322)) + -2.0913382) + (x4 * 0.13624024)"
22,0.038561508,"((-0.5883075 * x4) * log10(x0 + (x5 * 3.815457))) + (x4 + -2.421406)"
24,0.037449807,"((log10((x5 * 4.677328) + x0) * ((x4 * -0.5529041) + -0.18060003)) + x4) + -2.1951478"
26,0.036785007,"x4 + ((log10((x5 * 3.8071377) + x0) * (x4 * (x1 + -0.62342066))) + -2.4219453)"
27,0.036746506,"x4 + (((x4 * log10(x1 + 0.22198524)) * log10((x5 * 3.7274227) + x0)) + -2.422323)"
28,0.03637244,"(((x4 * -0.5557836) + -0.17026873) * log10((x5 * 4.5907974) + x0)) + (x1 + (x4 + -2.2431602))"
29,0.036365543,"((log10(x0 + (x5 * 3.7091706)) * (x4 * -0.5913749)) + ((log10(x1) * 0.21471193) + -2.0959682)) + x4"
30,0.035759635,"((x4 * (x1 + 0.72193444)) + (((x4 * -0.42753318) + -0.18262419) * log10(x0 + (x5 * 3.2091968)))) + -2.1885715"
31,0.035424504,"x4 + (((log10(x1) * 0.20439768) + -1.9214724) + (((x4 * -0.56593865) + -0.15128268) * log10((x5 * 4.288767) + x0)))"
32,0.034834635,"(((x4 * -0.42434403) + -0.18407102) * log10(x0 + (x5 * 3.136565))) + (((x1 + 0.7136222) * (x4 + 1.9320043)) + -3.63016)"
36,0.03462478,"((x4 + 1.6593113) * (x1 + 0.7213374)) + (x3 + ((((x4 * -0.43061686) + -0.17027342) * log10((x5 * 3.1769419) + x0)) + -3.4879143))"
38,0.034603104,"((((((x4 + -1.2052622) * -0.41728878) + -0.67645013) * log10((x0 * 0.32949576) + x5)) + ((x1 + 0.4956801) * (x4 + 1.3985045))) + -3.054513) + x3"
40,0.034356344,"((((x1 + 0.5173129) * (x4 + 1.8254514)) + (x7 * 0.24808985)) + (log10(x5 + (x0 * 0.27644375)) * (((x4 + -1.2010334) * -0.43613344) + -0.68974096))) + -3.4849777"
41,0.034085993,"(log10((x4 * 2.8477168) + x0) * ((x4 * -0.42677662) + -0.6205174)) + (((x3 + 0.71265423) * x4) + ((log10(x0) * (x1 ^ 0.21433112)) + -2.2636948))"
42,0.03367467,"(((log10(x0) + (x4 * 0.6403086)) * (x1 ^ 0.087950036)) + (log10(x2) * -0.377968)) + ((log10(x4 + x0) * ((x4 * -0.30839685) + -0.91807485)) + -1.8149732)"
44,0.033373643,"(log10(x2) * -0.3662243) + ((((x4 * 0.67559105) + -1.8485276) + (log10((x4 * 2.4448688) + x0) * ((x4 * -0.41600385) + -0.654775))) + (log10(x0) * (x1 ^ 0.21351081)))"
46,0.03331176,"((((-0.85393345 + (x4 * -0.42854014)) * log10((x4 * 2.086113) + x0)) + -1.8578913) + ((x4 * 0.6905276) + (log10(x2) * -0.35867473))) + (log10(x0) * ((x1 ^ 0.25734007) + 0.2691988))"
48,0.032920323,"(log10(x0 + (x4 * 2.1447587)) * ((x4 * -0.41072795) + -0.7085568)) + (((((log10(x2) * -0.50712436) + x4) * (x1 + 0.6257258)) + -1.8874865) + ((x1 ^ 0.17718871) * log10(x0)))"
50,0.03291813,"(((x1 ^ 0.17718638) * log10(x0)) + ((((log10(x2) * -0.50715935) + x4) * ((x1 * 1.0320091) + 0.6254298)) + -1.887585)) + (log10(x0 + (x4 * 2.1447408)) * ((x4 * -0.4111304) + -0.7086611))"
52,0.032493744,"((log10(x0 + (x4 * 2.0994258)) * ((x4 * -0.434246) + -0.8357506)) + -1.8948591) + ((log10(x0) * (x3 + (x1 ^ 0.1284648))) + (((log10(x2) * -0.47444075) + x4) * (x1 + 0.6629836)))"
54,0.03249244,"((log10((x4 * 2.0994296) + x0) * ((x4 * -0.4342759) + -0.8357965)) + -1.8949023) + (((x3 + (x1 ^ 0.12847817)) * log10(x0 + 0.01127381)) + ((x1 + 0.66293746) * (x4 + (log10(x2) * -0.47448307))))"
57,0.03248452,"((log10(x0 * 0.8101208) * (x1 ^ 0.16677386)) + (x4 * (x1 + 0.6496754))) + ((((x4 * -0.41736445) + -0.71834487) * log10(x0 + (x4 * 2.2583303))) + ((log10(x2) * -0.3718209) + ((log10(x7) * 0.3124701) + -1.7633289)))"
58,0.03238829,"((((x1 + 0.66293746) * (x4 + (log10(x2) * -0.47448307))) + -1.8949023) + (((x4 * -0.4342759) + -0.8357965) * log10(x0 + (x4 * 2.0994296)))) + (((x1 ^ 0.12847817) + x3) * log10(x0 + (-0.5799654 + x7)))"
59,0.03218341,"((((x4 * (x1 + 0.6993266)) + -1.8318208) + (log10(x0 + (x4 * 2.2389462)) * ((x4 * -0.44678405) + -0.8655862))) + ((log10(x2) * -0.3600151) + (((x1 ^ 0.110855825) + x3) * log10(x0)))) + (log10(x7) * 0.3050095)"
60,0.032148287,"((((x1 + 0.6706601) * x4) + (((x1 ^ 0.14644334) + x3) * log10(x0 * 0.60129017))) + (x7 * 0.20565887)) + ((log10((x4 * 2.248931) + x0) * ((x4 * -0.4306837) + -0.79111886)) + ((log10(x2) * -0.374778) + -1.8651586))"
61,0.032125913,"(((x1 ^ 0.14651696) + x3) * log10(x0 * 0.62330073)) + (((log10(x0 + (x4 * 2.2551727)) * ((x4 * -0.4311978) + -0.7876377)) + (((log10(x2) * -0.36200148) + -1.6992906) + (x4 * (x1 + 0.67392844)))) + (log10(x7) * 0.30638525))"
63,0.0321135,"((((log10(x7) * 0.30587953) + -1.675013) + ((x1 + 0.66900444) * x4)) + (((x4 * -0.42821583) + -0.7882061) * log10(x0 + (x4 * 2.2538033)))) + ((log10(x0 * 0.6452) * ((x1 ^ 0.14751177) + x3)) + (log10(x2 + 0.30587953) * -0.38734603))"
67,0.031943273,"(((x3 + (x1 ^ 0.13708498)) * log10(x0 * 0.63035333)) + ((((x1 + 0.68332267) * x4) + ((log10(x7) * 0.2927668) + -1.6785845)) + (((x9 * 0.008576952) + -0.3861032) * log10(x2)))) + (((x4 * -0.43806934) + -0.80812067) * log10(x0 + (x4 * 2.2572875)))"
68,0.03194326,"(((x1 + 0.68332267) * x4) + (log10(x7) * 0.2927668)) + ((-1.6785845 + (((x9 * 0.008576952) + -0.3861032) * log10(x2))) + (((x3 + (x1 ^ exp(-1.9869272))) * log10(x0 * 0.63035333)) + (((x4 * -0.43806934) + -0.80812067) * log10(x0 + (x4 * 2.2572875)))))"
69,0.031925857,"(((x3 + (x1 ^ 0.1418796)) * log10(x0 * 0.6408296)) + (log10(x2 + 0.30400288) * ((x9 * 0.008615765) + -0.3987754))) + (((((x1 + 0.6783206) * x4) + -1.6690718) + (log10((x4 * 2.2528093) + x0) * ((x4 * -0.43447027) + -0.7971541))) + (log10(x7) * 0.288624))"
71,0.031701703,"((x4 * (x1 + 0.660137)) + (log10((x4 * 2.4470801) + x0) * ((x4 * -0.46173927) + -0.7174357))) + ((log10(x0 * 0.49289048) * (x3 + (x1 ^ 0.1767054))) + (((((x4 * -0.1649977) * x6) + (log10(x2) * -0.3084444)) + (log10(x7) * 0.3242919)) + -1.7140121))"
75,0.031619642,"((log10((x6 + x0) * 0.56670606) * ((x1 ^ 0.21092486) + x3)) + (((x4 * -0.45081696) + -0.6786281) * log10(x0 + (x4 * 2.4163847)))) + (((x4 * (x1 + 0.62877625)) + -1.7100353) + ((log10(x7) * 0.32142967) + ((log10(x2) * -0.32399172) + (x4 * (x6 * -0.18617381)))))"
77,0.031612128,"(((log10(x7) * 0.2921289) + (((x4 * (x1 + 0.60761404)) + -1.8987209) + ((x6 * -0.19640192) * x4))) + (log10(x2) * -0.34326723)) + (((x3 + (x1 ^ 0.36017537)) * log10((x9 + x0) * 0.40491703)) + ((((x4 * -0.4425544) + -0.45314467) * log10(x0 + (x4 * 2.6464295))) + 0.14664674))"
79,0.031583227,"((((log10(x7) * 0.25823686) + (log10(x2 + 1.2162719) * -0.39407262)) + (((x1 + 0.5903798) * x4) + ((x6 * (x4 * -0.1899095)) + -1.8535144))) + ((((x4 * -0.4271258) + -0.45910487) * log10((x4 * 2.636567) + x0)) + (((x1 ^ 0.36558145) + x3) * log10((x9 + x0) * 0.40870935)))) + 0.17581122"
81,0.03144969,"(((log10(x0 + (x4 * 2.5427334)) * ((x4 * -0.45201194) + -0.55018234)) + (log10(x2 + (x9 + 0.51376855)) * -0.33405185)) + ((log10((x0 + x9) * 0.435611) * (x3 + (x1 ^ 0.2718841))) + ((((x1 + 0.6334802) * x4) + -1.7261223) + ((x4 * -0.17550205) * x6)))) + (log10(x7) * 0.31274968)"
83,0.0314415,"(((log10(x0 + (x4 * 2.5666664)) * ((x4 * -0.45072526) + -0.54164755)) + ((x3 + (x1 ^ 0.2800135)) * log10((x9 + x0) * 0.42241803))) + 0.16747184) + (((log10(x9 + (x2 + 0.9148823)) * -0.3541314) + ((x4 * (x6 * -0.17862144)) + (log10(x7) * 0.3259376))) + (((x1 + 0.6318406) * x4) + -1.861098))"
85,0.03143318,"((((x1 ^ 0.27580157) + x3) * log10((x9 + x0) * 0.4314508)) + ((((x4 * -0.45561245) + -0.543446) * log10((x4 * 2.5751982) + x0)) + 0.16398856)) + ((((x4 * (x6 * -0.18613422)) + (log10(x7) * 0.31856546)) + (((x4 + -0.025212655) * (x1 + 0.63491577)) + -1.8440441)) + (log10((x9 + x2) + 0.9147565) * -0.3575381))"
87,0.031415883,"((((x1 + 0.26809192) * log10(x7)) + (((x1 + 0.6316992) * x4) + (((x6 * -0.18177572) * x4) + -1.9136499))) + (log10(x2 + (x9 + 0.91351324)) * -0.35598665)) + (((((x4 * -0.45307192) + -0.55039614) * log10((x4 * 2.5368345) + x0)) + 0.19312929) + ((x3 + (x1 ^ 0.27093956)) * log10((x9 + x0) * 0.48941892)))"
89,0.03137309,"((log10((x0 + x9) * 0.3996843) * ((x1 ^ 0.28186387) + x3)) + ((log10((x4 * 2.5614228) + x0) * ((x4 * -0.44878536) + -0.54240745)) + 0.15120304)) + ((log10(x7) * 0.3434575) + ((((x1 + 0.6605489) * (x4 + (x5 * -0.025884423))) + (((x6 * -0.15592629) * x4) + -1.8304086)) + (log10(x2 + (x9 + 0.9153868)) * -0.32999647)))"
93,0.03134941,"((log10((x9 + x0) * 0.42795572) * ((x1 ^ 0.27961004) + x3)) + ((log10((x2 + x9) + 0.9173155) * -0.33572844) + 0.14284779)) + (((((x4 * -0.44942078) + -0.5467332) * log10((x4 * 2.5410879) + x0)) + ((x1 + 0.30376142) * log10(x7))) + (((x5 * -0.01911614) + ((x4 * (x1 + 0.6619426)) + -1.824026)) + ((x6 * x4) * -0.15374896)))"
98,0.031346463,"((((x4 * -0.4420785) + -0.5387896) * log10((x4 * 2.4597466) + x0)) + ((((x1 ^ 0.28544816) + x3) * log10((x0 + x9) * 0.4332702)) + 0.15428835)) + (((log10((x9 + x2) + 0.438607) * -0.29911453) + (((x1 + 0.2900657) * log10(x7)) + (x4 * (x6 * -0.1545721)))) + ((exp((x5 + 1.3016536) * 0.16736433) * -0.054191984) + ((x4 * (x1 + 0.6494462)) + -1.8310744)))"
