Complexity,Loss,Equation
1,0.050032143,"-2.5986283"
5,0.045509905,"x4 + -2.7221305"
6,0.042559236,"log10(x4) + -1.6528957"
7,0.041064214,"(x4 * 3.377277) + -3.011001"
8,0.040839393,"log10(x4 + 0.02985791) + -1.7596602"
9,0.040746987,"((x4 ^ 0.5186933) * 2.225028) + -3.3338437"
10,0.036213554,"log10(x2 + x4) + -1.801776"
11,0.036128893,"((x4 + x2) * 2.9159162) + -3.0965157"
12,0.036058616,"log10((x2 * 1.34564) + x4) + -1.8426521"
13,0.035853885,"(((x4 + x2) ^ 0.50774086) * 2.3305435) + -3.5368528"
14,0.03506858,"(x2 + -1.834655) + log10(x4 + x1)"
16,0.034118906,"(x2 * 2.3440647) + (-1.9010844 + log10(x4 + x1))"
17,0.033684675,"(log10(x4) + -1.2335768) + (log10(x7 * x3) * -0.31643552)"
19,0.0330111,"(((log10(x3) + (x7 * 0.21327639)) * -0.3527904) + log10(x4)) + -1.1148891"
21,0.03166023,"((log10(x3 * x7) * -0.2354184) + -1.4921151) + log10(x2 + x4)"
23,0.031040093,"((log10(x3) * -0.24930616) + (x7 * -0.064906046)) + (log10(x4 + x2) + -1.4015515)"
25,0.030590476,"log10(x4) + (((log10((x7 + 0.46126243) * x3) * -0.3362636) + -1.2826133) + (x2 * 2.2864494))"
26,0.030560413,"((log10(x4) + -2.2762527) + exp(x2 * 2.0868735)) + (log10((x7 + 0.49842253) * x3) * -0.33696914)"
27,0.029849436,"(((x7 * 0.06264808) + 0.6606261) * log10(x4)) + (((log10(x3) + 1.5234562) * (x2 + -0.32410035)) + -1.1376306)"
29,0.029777573,"((log10(x3 + 0.5368435) + 1.5256469) * (x2 + -0.37947345)) + (-1.006402 + (log10(x4) * ((0.061771587 * x7) + 0.6389238)))"
31,0.029728297,"(((log10(x4) * 0.80593675) + x1) + (((log10(x3) + 1.1197387) * (x2 + -0.3030325)) + -1.1976254)) + (x7 * -0.060317505)"
33,0.029391527,"(log10(x4) * 0.6884878) + ((log10(x3) * -0.32540393) + ((((x0 ^ -0.39047343) + -0.26391447) * x6) + ((x2 + -0.593937) * 2.8100586)))"
35,0.028967857,"((((x2 + -0.5586274) * 2.7886202) + (log10(x4) * 0.6500582)) + (log10(x3 + 1.4015034) * -0.38080192)) + (x7 * ((x0 ^ -0.643909) + -0.13025376))"
37,0.028874343,"(((x1 + x2) * 1.9505336) + (((log10(x3) * -0.31125715) + (((x0 ^ -0.43722385) + -0.22702967) * x6)) + (log10(x4) * 0.7319766))) + -1.6856341"
39,0.028553741,"(log10(x3 + 1.1765332) * -0.41638753) + (((x6 * ((x0 ^ -0.44746447) + -0.22749126)) + ((x2 + x1) * 1.964692)) + ((log10(x4) * 0.69268703) + -1.5821005))"
41,0.028542465,"((((((x0 + -2.0245962) ^ -0.46486238) + -0.21877576) * x6) + (log10(x3 + 1.176724) * -0.41477722)) + ((log10(x4) * 0.691667) + ((x1 + x2) * 1.9609334))) + -1.5851117"
43,0.028521352,"(((log10(x3 + 1.8031758) * -0.45912167) + (x2 + ((log10(x4) * 0.6554682) + -1.54525))) + ((x2 + x1) * 1.2770032)) + (x6 * ((x0 ^ -0.45640075) + -0.22379643))"
45,0.028394897,"(((x2 * 2.1912) + (x6 * ((x0 ^ -0.42568618) + -0.2412145))) + ((log10(x4) + -0.7776499) * exp(x4))) + ((log10(x3 + 0.9180357) * -0.4354156) + (log10(x1) * 0.14724103))"
46,0.028394895,"((x6 * ((x0 ^ log10(0.37524405)) + -0.2412145)) + (log10(x3 + 0.9180357) * -0.4354156)) + (((exp(x4) * (log10(x4) + -0.7776499)) + (x2 * 2.1912)) + (log10(x1) * 0.14724103))"
47,0.028382374,"((x6 * (((-2.220026 + x0) ^ -0.42709818) + -0.24289238)) + (log10(0.9153836 + x3) * -0.43544057)) + ((x2 * 2.191306) + ((exp(x4) * (log10(x4) + -0.7777388)) + (log10(x1) * 0.14709842)))"
48,0.028128069,"(((exp(x4 + (x3 * -0.004903458)) * log10(x4)) + x1) + ((x6 * ((x0 ^ -0.5002722) + -0.21147938)) + -0.97330046)) + ((x2 * 2.3896198) + (log10(x3 + 1.0994016) * -0.6295661))"
50,0.027924191,"(log10(x3 + 2.3019795) * -0.7528762) + (((x3 * 0.006117317) + ((x6 * ((x0 ^ -0.4922165) + -0.2086513)) + -0.7262331)) + ((x2 * 2.2165911) + (exp(x4 * 1.7956988) * (log10(x4) + x1))))"
51,0.027829222,"(((((log10(x1) + (x3 * 0.036690135)) * 0.1459773) + (log10(x3 + 1.6039785) * -0.6530547)) + ((log10(x4) + -0.6093564) * exp(x4))) + (((x0 ^ -0.41054612) + -0.25782424) * x6)) + (x2 * 2.1956148)"
53,0.027821196,"((x2 * 2.1956139) + ((((x3 * 0.03643619) + log10(x1)) * 0.14616747) + (log10(x3 + 1.6039863) * -0.65331227))) + (((log10(x4) + -0.6095985) * exp(x4)) + (x6 * (((x0 + -1.6819115) ^ -0.41097265) + -0.25835186)))"
55,0.027820596,"(((exp(x4) * (log10(x4) + -0.6357887)) + ((log10(x3 + 1.825851) * -0.6890938) + (x3 * 0.0057086856))) + ((log10(x1) + -0.3692944) * 0.15056936)) + (((x2 + 0.063620076) * 2.1445324) + (x6 * ((x0 ^ -0.4345818) + -0.24155651)))"
59,0.027633267,"(((exp(x4 * 1.8266306) * log10(x4)) + (x6 * ((x0 ^ -0.40631416) + -0.22556584))) + (((x7 * -0.033248235) + -0.57527906) + ((log10(x1) * 0.13268586) + (x2 * 2.1384177)))) + ((x3 * 0.0055122827) + (log10(x3 + 1.826171) * -0.6359359))"
61,0.02762922,"(((((x7 + 0.7583752) * -0.03763872) + (log10(x4) * exp(x4 * 1.8239554))) + -0.56612337) + ((log10(x3 + 1.6063137) * -0.6205242) + ((x2 * 2.1417868) + (x3 * 0.0054157167)))) + ((log10(x1) * 0.13131821) + (x6 * ((x0 ^ -0.40294108) + -0.22292846)))"
63,0.02733228,"(((log10(x3 + 2.17703) * -0.7847436) + ((exp(x4 * 2.124761) * (log10(x4) + (x1 + -0.29740283))) + (x3 * 0.0069461637))) + (((x0 ^ -0.43815818) + -0.31327778) * x6)) + (((x2 * 2.2815442) + -0.7358167) + (exp(x6 * x4) * 0.47082794))"
65,0.027330345,"(((log10(x3 + 2.17703) * -0.7847436) + ((exp(x4 * 2.124761) * (log10(x4) + (x1 + -0.29740283))) + (x3 * 0.0069461637))) + (((x0 ^ -0.43815818) + -0.31327778) * x6)) + (((x2 * 2.2815442) + -0.7358167) + (exp((0.0098968325 + x6) * x4) * 0.47082794))"
69,0.02719481,"(exp(x4 * 1.3756508) * (log10(x4) + -0.66351604)) + (((log10(x3 + 2.1767168) * -0.77260625) + (((x2 + -0.13735844) * 2.1760716) + (exp(x4 * x6) * 0.3794032))) + (((x3 * 0.007992232) + ((x1 + -0.061010525) * x7)) + (((x0 ^ -0.3778905) + -0.31495672) * x6)))"
71,0.02708295,"(((exp(x4 * x6) * 0.38711506) + (((log10(x4) + -0.65647495) * exp(x4 * 1.3755578)) + (((x0 ^ -0.3735557) + -0.30971363) * x6))) + (((x1 + -0.08281607) * (x7 * 0.70811003)) + ((x3 * 0.0075662807) + (log10(x3 + 2.167044) * -0.76143533)))) + ((x2 + -0.13349022) * 2.425103)"
73,0.027080128,"(((((log10(x4) + -0.6574482) * exp(x4 * 1.375533)) + (x7 * ((x1 + -0.08778269) * 0.6307409))) + (x3 * 0.0074095684)) + ((log10(x3 + 2.167331) * -0.7633503) + ((x2 + -0.1297428) * 2.425675))) + ((x6 * (((x0 + -1.4508299) ^ -0.37473887) + -0.31153226)) + (exp(x4 * x6) * 0.38423085))"
78,0.02693219,"(((log10(x3 + 1.9388069) * -0.7244032) + (((x3 * 0.006290753) + (x7 * -0.07620859)) + ((x2 + -0.1436221) * 2.2020156))) + (((x6 ^ 0.7055024) * ((x0 ^ -0.34070647) + -0.34136012)) + (exp(x4 * 1.3915629) * (log10(x4) + (x1 + -0.6397501))))) + (exp(x4 * x6) * ((exp(x9) + 0.93704236) * 0.2460414))"
81,0.02689347,"(log10(x3 + 1.9614452) * -0.70108175) + (((((x3 * 0.006125837) + (x2 * 2.1743305)) + (x7 * -0.07383293)) + ((exp(x2) + exp(x9)) * (exp(x6 * x4) * 0.22052364))) + (((exp(x4 * 1.3338081) * ((x1 + -0.68666315) + log10(x4))) + (((x0 ^ -0.37930578) + -0.30029324) * (x6 ^ 0.70091003))) + -0.29133028))"
