Complexity,Loss,Equation
1,0.119778685,"-1.4876126"
5,0.11308876,"x4 + -2.245152"
6,0.11086806,"log10(x4) + -1.3588196"
7,0.10667966,"(x1 ^ -0.13541822) * -0.9239839"
8,0.10667748,"(log10(x1) * 0.471766) + -0.7716885"
9,0.101799615,"-1.7623354 + (x2 * x1)"
10,0.096871026,"log10(x5 * (x1 + 0.021427743))"
12,0.0967877,"log10((x1 + 0.025276218) * x5) + -0.03184636"
13,0.09437191,"((-0.081765905 * x6) + -0.8707613) * (x1 ^ -0.13444151)"
15,0.09388656,"((log10(x1) * 0.4836567) + -1.6516984) + exp(x6 * -0.16588539)"
16,0.09092899,"(x6 * -0.111352086) + log10((x4 * x1) + 0.014522311)"
18,0.09062877,"(log10(x4 * x1) * 0.54115134) + ((x6 * -0.112315744) + -0.52196085)"
19,0.090242304,"((log10(x1) * 0.46422705) + -0.38525108) + ((x6 + log10(x0)) * -0.14988786)"
20,0.08987407,"(x6 * -0.1403642) + (((x0 ^ -0.21551451) + -1.0703982) + (log10(x1) * 0.46271917))"
21,0.088930145,"(log10(x1 * 0.21962129) * 0.46991286) + (((x6 * -0.076991655) + -0.18595585) * log10(x0))"
22,0.08840218,"(((x0 ^ -0.23574728) + -0.9645554) * ((x6 + 1.2748692) ^ 0.39838886)) + (log10(x1) * 0.46267387)"
23,0.08760861,"((log10(x0) + x6) * -0.12966044) + (log10((x4 * 0.20927191) * x1) * 0.4929993)"
24,0.08709804,"((x0 ^ -0.21438691) + (-0.99404556 + (x6 * -0.12354982))) + (log10(x4 * x1) * 0.48372003)"
25,0.086306386,"(log10(x0) * ((x6 * -0.06786371) + -0.16539922)) + (log10(x1 * (x4 * 0.24295759)) * 0.47717577)"
26,0.08591065,"(log10(x1 * x4) * 0.48645476) + (((x0 ^ -0.221444) + -0.96911836) * ((0.9915681 + x6) ^ 0.3318523))"
28,0.08566561,"((log10(x1 * x4) * 0.4795186) + (((x0 ^ -0.40126997) + -0.3368173) * ((x6 ^ 0.6692438) + 1.0935065))) + -0.4212181"
30,0.08561868,"(log10((x1 * x4) * 0.15169947) * 0.47417793) + (((x6 + 0.37483) ^ 0.42634138) * (((x0 ^ -0.27216232) + -0.5285285) * 1.4807585))"
31,0.08548754,"((log10(x1 * 0.08591661) * 0.4630921) + (((x0 ^ -0.29746273) + -0.42459986) * ((x6 ^ 0.6775199) + 0.74606055))) + (log10(x4) * 0.6775199)"
32,0.085317254,"(log10(x1 * x4) * 0.6707046) + ((x1 * -3.1809318) + (((x0 ^ -0.4552615) + -0.29206145) * ((x6 ^ 0.64336854) + 1.2031657)))"
34,0.085241094,"((x1 + 0.57187766) * log10(x1 * (x4 * 0.38200122))) + (((x6 + 0.3452103) ^ 0.51033694) * (((x0 ^ -0.2800762) + -0.48131642) * 1.3648018))"
36,0.08462229,"(((x9 * x6) * -0.07900805) + (log10(x1 * x4) * 0.48118308)) + (((x0 ^ -0.22373022) + -0.97617185) * ((x6 + 0.9888039) ^ 0.35357097))"
38,0.084501736,"(((((x6 ^ 0.7108322) + 1.4018335) ^ 0.49955016) * ((x0 ^ -0.2988172) + -0.78582275)) + ((x9 * -0.08954186) * x6)) + (log10(x1 * x4) * 0.47157043)"
40,0.08416717,"((x6 * (x9 * -0.085768946)) + (log10(x4 * (x1 * 0.14919008)) * 0.46499056)) + (((x0 ^ -0.27973795) + -0.5412466) * (((x6 + 0.37420827) ^ 0.4349408) * 1.4845097))"
42,0.083955295,"(((log10(x1 * x4) * 0.6890084) + (x1 * -3.199024)) + (((x6 ^ 0.6444916) + 0.88589656) * ((x0 ^ -0.34975627) + -0.38938567))) + ((x6 * x9) * -0.081871204)"
44,0.08386712,"(((x0 ^ -0.2947568) + -0.4500793) * ((x6 ^ 0.64179915) + 0.722541)) + ((((x6 * x9) * -0.08757111) + (x1 * -2.2409987)) + (log10((x4 * x1) * 0.51037276) * 0.61575514))"
46,0.08356203,"((((x0 ^ -0.29419947) + -0.44952872) * ((x6 ^ 0.66103685) + 0.7170111)) + (x1 * -2.2407587)) + ((log10(x4 * (x1 * 0.5103917)) * 0.6163734) + ((x6 ^ 2.1705208) * (x9 * -0.04704705)))"
47,0.083436176,"((log10(x0) * (x1 * -1.954294)) + (((x0 ^ -0.3511089) + -0.38682833) * ((x6 ^ 0.63517857) + 0.49492377))) + ((log10(x1 * x4) * 0.72014666) + ((x9 * x6) * -0.08394629))"
49,0.083331734,"(log10((x1 * 0.5949496) * x4) * 0.6457146) + (((((x6 ^ 0.6457146) + 0.5381718) * ((x0 ^ -0.31508014) + -0.42417806)) + (x6 * (x9 * -0.089583635))) + (x1 * (log10(x0) * -1.486008)))"
51,0.08328868,"(log10(x0) * (x1 * -1.6377606)) + ((((((x6 + 0.14493062) * 1.9322733) ^ 0.54522425) * ((x0 ^ -0.35340875) + -0.37494028)) + (log10((x4 * x1) * 0.6636911) * 0.6645875)) + (x6 * (x9 * -0.0864911)))"
52,0.083012484,"((log10(x1 * x4) * 0.72668856) + ((((x9 * 0.3290837) * x6) * log10(x5)) + (log10(x0) * (x1 * -1.97263)))) + (((x6 ^ 0.69412225) + 0.44278497) * ((x0 ^ -0.33907235) + -0.3931245))"
