Complexity,Loss,Equation
1,0.115342386,"-1.4811938"
5,0.10310382,"x3 + -1.604963"
6,0.08333144,"log10(x3) + -0.54370177"
8,0.08272586,"log10(x3 + 0.103778824) * 2.27767"
10,0.074057944,"log10(x1 + x3) + -0.6965276"
11,0.07214835,"(3.676035 * (x1 + x3)) + -2.118752"
12,0.07137327,"(log10(x3) + -0.71520406) + (x1 * 3.4065454)"
13,0.07115228,"exp(x1 * -2.4694462) * (log10(x3) + -0.7316984)"
14,0.07040961,"(log10(x3 + 0.013649603) + -0.78063834) + (x1 * 3.6285505)"
16,0.06622844,"(x8 * -0.08750737) + (log10(x3 + x1) + -0.62450963)"
17,0.06382029,"(x8 * -0.09054116) + (((x3 + x1) + -0.5784316) * 3.4672146)"
19,0.063338794,"(((x3 + x1) + -0.58139145) * 3.4118886) + ((x8 ^ 0.6588212) * -0.12693968)"
20,0.06329361,"(log10(x8 + 1.4960855) * -0.5596111) + (((x1 + -0.557743) + x3) * 3.368329)"
21,0.062349323,"((x8 * -0.090857215) + (((x1 + -0.60295707) + x3) * 3.3653061)) + x0"
22,0.06187494,"((x1 * 2.7755814) + (log10(x0 + x3) + -0.7499084)) + (x8 * -0.08319207)"
23,0.06004943,"((log10(x2 * 14.970581) * (x1 + -0.25287703)) + (x8 * -0.105335765)) + log10(x3)"
25,0.059329633,"(((x8 * -0.120542966) + -0.2809865) + ((log10(x2) * -0.2788286) + log10(x3))) + (x1 * 2.750626)"
26,0.058904603,"((((log10(x2) * -0.279495) + (exp(x8) ^ -0.14834519)) + -1.2742889) + log10(x3)) + (x1 * 2.7673218)"
27,0.05825078,"(x8 * -0.10858478) + ((((x0 + -0.30680847) + x1) * log10(x2 * 10.286199)) + log10(x3))"
29,0.05804253,"(((x8 * -0.11071849) + (log10(x3) + ((x0 + x1) * 2.1677556))) + (log10(x2) * -0.23045427)) + -0.39951992"
30,0.057577014,"(((x0 + x1) * 2.1324754) + (log10(x3) + ((exp(x8) ^ -0.1382117) + (log10(x2) * -0.2370758)))) + -1.381196"
31,0.057324234,"((((log10(x2) * -0.22329125) + -0.39199474) + ((x0 + x1) * 2.152406)) + ((x8 ^ 0.62316275) * -0.15005942)) + log10(x3)"
32,0.057160676,"log10(x3) + (((log10(x2) * -0.24549858) + (x0 + -0.6982912)) + ((exp(x8) ^ -0.35061917) * ((x1 * 3.117297) + 0.3244526)))"
34,0.056431707,"(x0 ^ 0.1192605) + ((log10(x3) + (((x1 * 2.6183307) + 0.32671228) * (exp(x8) ^ -0.3749654))) + ((log10(x2) * -0.23097003) + -1.3225367))"
