Complexity,Loss,Equation
1,0.11614523,"-1.3037542"
2,0.11614522,"log10(0.04969313)"
5,0.11061711,"x1 + -1.3412944"
6,0.098371744,"log10(x1 + 0.017055137)"
7,0.09762863,"(x1 ^ -0.15297872) * -0.76797765"
8,0.097162485,"log10((x1 * 0.78524864) + 0.022553995)"
9,0.09694041,"((x1 ^ 0.3249929) * 2.0611339) + -1.9897283"
11,0.09038399,"((x7 + 4.690574) * x1) + -1.5210317"
12,0.08999622,"exp((x7 + 3.0427504) * x1) + -2.4786584"
13,0.08851282,"-1.5137062 + (x1 * ((x7 + 2.8434954) ^ 1.2417396))"
15,0.08800134,"((x2 + x1) * (x7 + 2.1685536)) + -1.5425634"
16,0.0869215,"(x1 * ((x7 + exp(x5)) ^ 1.3543466)) + -1.5021826"
17,0.08643268,"((x7 + 3.3124387) * (x1 + (x2 * 0.53908336))) + -1.5521802"
18,0.085967146,"-1.8413838 + ((x7 + exp(x5 + 0.70462346)) * (x1 + 0.05750067))"
19,0.08508681,"((x1 * 5.6374817) + (((x0 * -0.0050238864) + 0.1294328) * x7)) + -1.5895468"
20,0.084555015,"(x7 * ((x0 * -0.0049720104) + 0.12882945)) + ((log10(x1) * 0.45875546) + -0.69579375)"
21,0.08452334,"((x1 * 5.3101287) + ((x7 + -0.5681412) * ((x0 * -0.006919464) + 0.15330438))) + -1.5414882"
22,0.083866425,"(((x7 + -0.5631592) * ((x0 * -0.006965123) + 0.15331988)) + (log10(x1) * 0.45177186)) + -0.6683634"
24,0.08349852,"((((x0 * -0.008120801) + 0.17091745) * x7) + ((log10(x0) * x1) * 5.325675)) + -1.5855756"
25,0.0834487,"((x2 + -1.5708021) + (((x0 * -0.006772848) + 0.14919685) * (x7 + -0.5679086))) + (x1 * 5.2126303)"
26,0.08290421,"(log10(x1) * 0.41987273) + (x2 + ((((x0 * -0.006718376) + 0.1472563) * (x7 + -0.56460637)) + -0.7487649))"
28,0.08240647,"(((x0 * -0.007949772) + 0.16823764) * x7) + ((log10(x0) * (x1 * 5.26938)) + (x2 + -1.6155989))"
30,0.08217939,"((((x1 + 0.10842425) * x7) + (x0 * ((x7 * -0.0065272795) + 0.0033830465))) + (log10(x1) * 0.3720033)) + -0.8651935"
32,0.08127878,"((x1 + 0.09442233) * x7) + (((x0 * (x7 * -0.0043497924)) + -0.772204) + (log10(x5 * x1) * 0.3901794))"
34,0.08063346,"((((x2 + (x7 * -0.055293716)) * (x0 * 0.12262339)) + (x7 * (x1 + 0.10934094))) + -0.9553623) + (log10(x1) * 0.315798)"
